PPR_POS_RK,PPR_POS_TIERS,PLAYER NAME,TEAM,PPR_POS_BEST,PPR_POS_WORST,PPR_POS_AVG.,PPR_POS_STD.DEV
167,12,Jason Huntley,PHI,111,154,136.3,17.2
168,12,Antonio Williams,BUF,125,163,144,15
169,12,Bo Scarbrough,LV,105,161,124.7,25.7
170,12,B.J. Emmons,LV,117,133,126,6.7
171,12,Nate McCrary,DEN,102,105,103.5,1.5
172,12,Gabe Nabers,LAC,105,114,109.5,4.5
173,12,Lamar Miller,WAS,125,170,149.2,14.4
174,12,Jonathan Williams,FA,126,157,143,11.2
175,12,Elijah McGuire,FA,122,164,143.3,16
176,12,DeAndre Washington,FA,90,171,134,33.4
177,12,Cullen Gillaspia,NYG,110,122,116,6
178,12,Adam Prentice,NO,115,120,117.5,2.5
179,12,Rakeem Boyd,FA,115,173,142.3,23.8
180,12,Ryan Nall,CHI,137,175,150.5,14.7
181,12,Troymaine Pope,FA,102,168,142.7,29
182,12,Alfred Morris,NYG,115,170,142.7,22.4
183,12,Dexter Williams,NYG,101,168,143,29.9
184,12,Dontrell Hilliard,HOU,103,167,143.7,28.9
185,12,Tony Brooks-James,FA,116,144,130,14
186,12,Buddy Howell,LAR,144,147,145,1.4
187,12,Johnny Stanton,CLE,92,174,133,41
188,12,A.J. Rose Jr.,MIN,129,149,139,10
189,12,Ben Mason,NE,119,162,140.5,21.5
190,12,JaQuan Hardy,DAL,143,172,153,13.4
191,12,Patrick Taylor Jr.,GB,122,172,147,25
192,12,C.J. Prosise,FA,136,162,149,13
193,12,Craig Reynolds,DET,124,178,151,27
194,12,Tavien Feaster,FA,150,177,159.7,12.3
195,12,Jordan Scarlett,FA,137,173,155,18
196,12,Sandro Platzgummer,NYG,152,163,157.5,5.5
