"POS_RK",POS_TIERS,"PLAYER NAME",TEAM,"AVG_FAN PTS","AVG_RUSH_ATT","AVG_RUSH_YDS","AVG_RUSH_TDS","AVG_REC_TGT","AVG_REC","AVG_REC_YDS","AVG_REC_TDS"
"94",8,"Jordan Wilkins",IND,"3.3","5.6","20.5","0.1","1.1","0.8","7.0","0.0"
"95",8,"Ito Smith",FA,"2.9","4.5","19.1","0.1","1.9","1.2","5.4","0.0"
"96",8,"Adrian Peterson",FA,"7.0","9.8","37.8","0.4","1.1","0.8","6.3","0.0"
"97",8,"Peyton Barber",WAS,"3.2","5.9","16.1","0.3","0.4","0.3","0.8","0.0"
"98",9,"Chris Thompson",FA,"2.8","0.9","2.5","0.0","2.9","2.5","18.3","0.1"
"99",9,"Jermar Jefferson",DET,"0","0","0","0","0","0","0","0"
"100",9,"Xavier Jones",LAR,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"101",9,"Mike Boone",DEN,"0.8","0.7","3.7","0.1","0.1","0.1","0.6","0.0"
"102",9,"Larry Rountree III",LAC,"0","0","0","0","0","0","0","0"
"103",9,"Elijah Mitchell",SF,"0","0","0","0","0","0","0","0"
"104",9,"Royce Freeman",DEN,"1.6","2.2","10.6","0.0","0.8","0.8","5.1","0.0"
"105",9,"Qadree Ollison",ATL,"0.1","0.3","1.0","0.0","0.0","0.0","0.0","0.0"
"106",9,"Chris Evans",CIN,"0","0","0","0","0","0","0","0"
"107",9,"Dare Ogunbowale",JAC,"1.4","2.3","10.4","0.0","1.4","0.7","3.9","0.0"
"108",9,"Jake Funk",LAR,"0","0","0","0","0","0","0","0"
"109",9,"Bryce Love",FA,"0","0","0","0","0","0","0","0"
"110",9,"Devine Ozigbo",JAC,"0.5","0.1","0.1","0.0","1.1","1.1","5.3","0.0"
"111",9,"Kylin Hill",GB,"0","0","0","0","0","0","0","0"
"112",9,"Khalil Herbert",CHI,"0","0","0","0","0","0","0","0"
"113",9,"Frank Gore",FA,"5.6","12.5","43.5","0.1","1.3","1.1","5.9","0.0"
"114",9,"Kene Nwangwu",MIN,"0","0","0","0","0","0","0","0"
"115",9,"LeSean McCoy",FA,"1.3","1.0","3.1","0.0","1.9","1.5","10.1","0.0"
"116",9,"Darwin Thompson",KC,"2.0","2.1","7.5","0.1","0.8","0.5","5.0","0.1"
"117",10,"Jaret Patterson",WAS,"0","0","0","0","0","0","0","0"
"118",10,"Gerrid Doaks",MIA,"0","0","0","0","0","0","0","0"
"119",10,"Travis Homer",SEA,"2.6","2.8","9.8","0.0","1.1","1.0","10.0","0.1"
"120",10,"Kyle Juszczyk",SF,"3.9","1.1","4.0","0.1","1.8","1.2","12.6","0.3"
"121",10,"Gary Brightwell",NYG,"0","0","0","0","0","0","0","0"
"122",10,"Raymond Calais",LAR,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"123",10,"Jaylen Samuels",PIT,"0.5","0.6","2.0","0.0","1.0","0.6","3.3","0.0"
"124",10,"Alex Collins",SEA,"6.7","6.0","25.7","0.7","0.7","0.3","1.3","0.0"
"125",10,"Stevie Scott III",NO,"0","0","0","0","0","0","0","0"
"126",10,"Trayveon Williams",CIN,"1.7","2.6","15.7","0.0","0.5","0.5","3.0","0.0"
"127",10,"Devonta Freeman",NO,"5.8","10.8","34.4","0.2","2.0","1.4","11.6","0.0"
"128",10,"JaMycal Hasty",SF,"3.0","4.9","18.5","0.1","1.0","0.9","4.1","0.0"
"129",10,"Ty Montgomery",NO,"2.1","3.2","16.8","0.0","1.0","0.5","4.5","0.0"
"130",10,"Dion Lewis",FA,"2.4","1.8","7.2","0.1","1.9","1.2","7.9","0.1"
"131",10,"Ameer Abdullah",MIN,"1.4","0.5","2.6","0.0","0.6","0.5","3.6","0.1"
"132",10,"Trey Ragas",LV,"0","0","0","0","0","0","0","0"
"133",10,"Pooka Williams Jr.",CIN,"0","0","0","0","0","0","0","0"
"134",10,"Jeremy McNichols",TEN,"2.0","2.9","12.8","0.1","1.1","0.8","3.4","0.0"
"135",10,"Ryquell Armstead",FA,"0","0","0","0","0","0","0","0"
"136",10,"Corey Clement",NYG,"1.1","1.4","5.0","0.1","0.4","0.3","1.7","0.0"
"137",10,"D'Ernest Johnson",CLE,"1.1","2.1","10.4","0.0","0.3","0.2","0.9","0.0"
"138",10,"D'Onta Foreman",FA,"2.7","3.7","15.8","0.0","0.2","0.2","0.8","0.2"
"139",10,"T.J. Yeldon",FA,"5.1","3.3","23.3","0.0","1.3","0.3","7.3","0.3"
"140",10,"C.J. Ham",MIN,"1.2","0.3","1.2","0.0","0.9","0.5","6.5","0.1"
"141",10,"Keith Smith",ATL,"0.4","0.3","0.4","0.0","0.9","0.7","3.7","0.0"
