"PPR_POS_RK",PPR_POS_TIERS,"PLAYER NAME",TEAM,"PPR_FAN PTS","REC_TGT","REC","REC_YDS","REC_TDS","RUSH_ATT","RUSH_YDS","RUSH_TDS"
"148",10,"Nakia Griffin-Stewart",FA,"0","0","0","0","0","0","0","0"
"149",10,"Sammis Reyes",FA,"0","0","0","0","0","0","0","0"
"150",10,"Matt Sokol",NE,"0","0","0","0","0","0","0","0"
"151",11,"Stone Smartt",LAC,"0","0","0","0","0","0","0","0"
"152",11,"Lucas Krull",NO,"0","0","0","0","0","0","0","0"
"153",11,"Shaun Beyer",GB,"0","0","0","0","0","0","0","0"
"154",11,"Colin Thompson",CAR,"0","1","0","0","0","0","0","0"
"155",11,"Bernhard Seikovits",ARI,"0","0","0","0","0","0","0","0"
"156",11,"Josh Babicz",CAR,"0","0","0","0","0","0","0","0"
"157",11,"Thaddeus Moss",CIN,"0","0","0","0","0","0","0","0"
"158",11,"Mason Schreck",HOU,"0","0","0","0","0","0","0","0"
"159",11,"Zaire Mitchell-Paden",CLE,"0","0","0","0","0","0","0","0"
"160",11,"Dylan Soehner",FA,"0","0","0","0","0","0","0","0"
