"PPR_POS_RK",PPR_POS_TIERS,"PLAYER NAME",TEAM,"PPR_FAN PTS","RUSH_ATT","RUSH_YDS","RUSH_TDS","REC_TGT","REC","REC_YDS","REC_TDS"
"210",13,"Ryan Nall",FA,"1.8","1","4","0","1","1","4","0"
"211",13,"Gerrid Doaks",FA,"0","0","0","0","0","0","0","0"
"212",13,"Andy Janovich",FA,"11.9","2","0","1","4","3","9","0"
"213",13,"Brian Hill",FA,"0","0","0","0","0","0","0","0"
"214",13,"CJ Verdell",FA,"0","0","0","0","0","0","0","0"
"215",13,"Spencer Brown",CAR,"0","0","0","0","0","0","0","0"
"216",13,"JaQuan Hardy",FA,"8.9","4","29","1","0","0","0","0"
"217",13,"Bryant Koback",MIN,"0","0","0","0","0","0","0","0"
"218",13,"Jaylen Samuels",FA,"5.3","5","9","0","4","3","14","0"
"219",13,"Ricky Person Jr.",FA,"0","0","0","0","0","0","0","0"
"220",13,"Patrick Laird",TB,"5.1","1","4","0","3","3","17","0"
"221",13,"Darwin Thompson",SEA,"0","0","0","0","0","0","0","0"
"222",13,"Leddie Brown",FA,"0","0","0","0","0","0","0","0"
"223",13,"BJ Baylor",FA,"0","0","0","0","0","0","0","0"
"224",13,"Tayon Fleet-Davis",FA,"0","0","0","0","0","0","0","0"
"225",13,"Elijah Holyfield",CIN,"0","0","0","0","0","0","0","0"
