"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"348",14,"Ryan Succop",FA,"K30","216","353","285.7","46.5","+153"
"349",14,"Luke Schoonmaker",DAL,"TE40","255","364","328.1","25.1","-50"
"350",14,"Robert Tonyan",CHI,"TE41","255","390","333.3","25.9","-25"
"351",14,"Ben Skowronek",LAR,"WR119","242","383","300.2","28.3","-"
"352",14,"Jonnu Smith",ATL,"TE42","283","394","333.9","23.0","+237"
"353",14,"Jauan Jennings",SF,"WR120","214","374","296.0","37.9","+42"
"354",14,"Noah Brown",HOU,"WR121","243","369","301.7","28.9","+163"
"355",14,"A.T. Perry",NO,"WR122","206","373","308.6","38.4","-"
"356",14,"Xavier Hutchinson",HOU,"WR123","212","390","308.9","42.8","-"
"357",14,"Trey Palmer",TB,"WR124","186","396","295.0","53.7","-59"
"358",14,"Kenyan Drake",IND,"RB98","277","388","330.0","27.5","-"
"359",14,"Kalif Raymond",DET,"WR125","220","373","296.5","47.0","-"
"360",14,"Ke'Shawn Vaughn",TB,"RB99","237","393","323.1","41.1","-"
"361",14,"Salvon Ahmed",MIA,"RB100","293","392","340.8","22.5","+82"
"362",14,"Calvin Austin III",PIT,"WR126","206","395","300.7","48.4","-59"
"363",14,"Randall Cobb",NYJ,"WR127","229","375","303.9","41.3","+56"
"364",14,"Foster Moreau",NO,"TE43","260","389","340.4","27.8","-"
"365",14,"Sam Darnold",SF,"QB38","271","387","337.4","26.4","-"
"366",14,"Rico Dowdle",DAL,"RB101","217","393","285.3","46.8","+98"
"367",14,"Noah Gray",KC,"TE44","264","380","333.2","25.9","-66"
"368",14,"Myles Gaskin",MIA,"RB102","301","386","340.8","19.2","-"
"369",14,"Albert Okwuegbunam",DEN,"TE45","273","387","333.8","26.7","+104"
"370",14,"Jamison Crowder",NYG,"WR128","247","379","313.1","36.1","-"
"371",14,"Trent Sherfield",BUF,"WR129","247","384","314.5","44.3","-"
"372",14,"Marquez Callaway",DEN,"WR130","240","375","316.5","39.0","+154"
"373",14,"Tyler Scott",CHI,"WR131","222","396","318.7","38.6","+198"
"374",14,"Darnell Washington",PIT,"TE46","244","381","341.2","23.9","-118"
"375",14,"Jalen Tolbert",DAL,"WR132","226","396","322.4","42.9","+23"
"376",14,"Ameer Abdullah",LV,"RB103","237","388","327.0","38.0","-"
"377",14,"Donald Parham Jr.",LAC,"TE47","266","391","342.6","31.1","-"
"378",14,"Will Dissly",SEA,"TE48","256","390","339.0","27.2","-15"
"379",14,"Chris Moore",TEN,"WR133","241","377","304.3","38.0","+128"
"380",14,"Olamide Zaccheaus",PHI,"WR134","244","383","323.8","37.6","+28"
"381",14,"Deneric Prince",KC,"RB104","255","388","324.1","37.9","-71"
"382",14,"Tucker Kraft",GB,"TE49","275","394","337.3","28.4","+1"
"383",14,"Rodrigo Blankenship",FA,"K31","221","351","310.0","35.6","-53"
"384",14,"Joey Slye",WAS,"K32","261","353","313.1","23.3","-88"
"385",14,"Cedrick Wilson Jr.",MIA,"WR135","243","377","314.0","41.7","+148"
"386",14,"Brandon Aubrey",DAL,"K33","224","350","292.2","38.3","-94"
"387",14,"Cole Turner",WAS,"TE50","235","389","321.8","43.5","+85"
"388",14,"Kenny McIntosh",SEA,"RB105","257","386","324.9","34.4","+69"
"389",14,"Arizona Cardinals",ARI,"DST28","165","355","313.7","39.0","-119"
"390",14,"Durham Smythe",MIA,"TE51","269","391","333.9","34.4","-29"
"391",14,"Gardner Minshew II",IND,"QB39","257","397","347.7","30.8","+167"
"392",14,"Justice Hill",BAL,"RB106","212","392","310.0","40.5","+68"
"393",14,"Jarvis Landry",FA,"WR136","242","395","298.3","45.3","+192"
"394",14,"Demario Douglas",NE,"WR137","229","384","303.6","44.6","+90"
"395",14,"Raheem Blackshear",CAR,"RB107","231","392","324.6","44.9","-"
"396",14,"Mason Crosby",FA,"K34","173","353","315.2","33.5","-76"
"397",14,"Atlanta Falcons",ATL,"DST29","234","355","302.8","34.3","-107"
"398",14,"Anders Carlson",GB,"K35","270","353","316.7","25.9","-114"
"399",14,"Chris Rodriguez Jr.",WAS,"RB108","243","392","328.8","37.3","-"
"400",14,"Ty Montgomery",NE,"RB109","243","388","336.0","38.6","-"
"401",14,"Justin Watson",KC,"WR138","243","396","342.7","39.1","-20"
"402",14,"Julio Jones",FA,"WR139","226","375","288.5","39.4","-15"
"403",14,"J.D. McKissic",FA,"RB110","278","392","334.3","26.4","-"
"404",14,"Demarcus Robinson",LAR,"WR140","265","395","334.4","36.5","-"
"405",14,"C.J. Uzomah",NYJ,"TE52","288","391","354.2","26.4","-50"
"406",14,"Brevin Jordan",HOU,"TE53","290","387","351.2","22.9","-"
"407",14,"Jamal Agnew",JAC,"WR141","258","395","327.2","41.6","-"
"408",14,"Tristan Vizcaino",FA,"K36","283","342","319.8","14.4","-76"
"409",14,"Chicago Bears",CHI,"DST30","278","355","320.2","18.8","-158"
"410",14,"Chase McLaughlin",TB,"K37","268","353","317.7","27.2","-137"
"411",15,"Kene Nwangwu",MIN,"RB111","259","380","337.8","30.3","-"
"412",15,"Mike White",MIA,"QB40","289","397","350.7","29.7","-"
"413",15,"Mo Alie-Cox",IND,"TE54","318","394","354.0","18.7","+43"
"414",15,"Dyami Brown",WAS,"WR142","269","395","341.0","35.0","+86"
"415",15,"Harrison Bryant",CLE,"TE55","307","391","359.4","24.6","+97"
"416",15,"Bailey Zappe",NE,"QB41","253","387","342.9","30.5","+124"
"417",15,"Houston Texans",HOU,"DST31","250","355","317.7","29.6","-113"
"418",15,"Darrell Henderson Jr.",FA,"RB112","309","386","341.3","25.9","-"
"419",15,"Taylor Heinicke",ATL,"QB42","313","397","353.3","23.9","-"
"420",15,"Charlie Jones",CIN,"WR143","269","396","343.1","37.8","+26"
"421",15,"Chad Ryland",NE,"K38","249","332","286.7","30.5","-82"
"422",15,"Kylen Granson",IND,"TE56","305","394","359.9","23.3","-"
"423",15,"Parker Washington",JAC,"WR144","268","396","343.3","40.0","-"
"424",15,"Samori Toure",GB,"WR145","268","396","345.0","33.0","+150"
"425",15,"Trenton Irwin",CIN,"WR146","286","378","334.7","32.6","-56"
"426",15,"Tanner Brown",LAR,"K39","288","342","319.6","16.2","-59"
"427",15,"Darrel Williams",NO,"RB113","306","372","341.6","19.6","-"
"428",15,"Jameis Winston",NO,"QB43","304","397","353.1","25.6","-22"
"429",15,"Craig Reynolds",DET,"RB114","267","381","317.3","37.8","-"
"430",15,"Kyle Juszczyk",SF,"RB115","281","388","321.8","25.9","-148"
"431",15,"Corey Clement",ARI,"RB116","257","393","330.3","43.1","-"
"432",15,"Kevin Harris",NE,"RB117","315","382","346.5","21.6","-"
"433",15,"Denzel Mims",FA,"WR147","293","384","338.8","33.8","-"
"434",15,"Dontrell Hilliard",FA,"RB118","312","376","336.3","16.6","-"
"435",15,"Zach Pascal",ARI,"WR148","315","390","352.0","25.4","-"
"436",15,"Ty Johnson",BUF,"RB119","313","382","349.0","24.3","+53"
"437",15,"Clayton Tune",ARI,"QB44","287","397","349.7","30.9","-"
"438",15,"Dontayvion Wicks",GB,"WR149","293","384","342.8","33.2","-"
"439",15,"DeAndre Carter",LV,"WR150","303","383","341.1","29.8","-"
"440",15,"Jordan Akins",CLE,"TE57","317","390","352.3","25.4","+73"
"441",15,"Velus Jones Jr.",CHI,"WR151","247","390","328.0","44.4","-"
"442",15,"Tyler Davis",FA,"K40","175","350","301.0","64.2","-"
"443",15,"Demetric Felton Jr.",CLE,"RB120","293","368","338.0","23.6","-"
"444",15,"Scott Miller",ATL,"WR152","288","395","359.3","29.0","+77"
"445",15,"Tre Tucker",LV,"WR153","314","384","357.4","23.7","+63"
"446",15,"Las Vegas Raiders",LV,"DST32","266","355","312.6","31.1","-191"
"447",15,"Brenton Strange",JAC,"TE58","341","376","356.4","13.1","+29"
"448",15,"Tony Jones Jr.",DEN,"RB121","269","321","294.8","19.1","-"
"449",15,"Andrei Iosivas",CIN,"WR154","282","395","353.2","34.7","-"
"450",15,"Kenny Golladay",FA,"WR155","295","373","331.5","26.6","-"
"451",15,"Tre'Quan Smith",NO,"WR156","321","386","365.0","17.8","-"
"452",15,"Brandon Bolden",LV,"RB122","292","388","351.0","34.2","-"
"453",15,"Caleb Shudak",FA,"K41","297","342","323.4","17.2","+53"
"454",15,"Randy Bullock",FA,"K42","305","353","323.8","18.0","-"
"455",15,"Keaton Mitchell",BAL,"RB123","287","362","324.2","25.9","+40"
"456",15,"David Moore",TB,"WR157","195","328","276.3","58.2","-"
"457",15,"Tyler Huntley",BAL,"QB45","325","387","364.9","19.8","-"
"458",15,"Mike Boone",HOU,"RB124","296","380","347.3","32.8","-"
"459",15,"Jeremy Ruckert",NYJ,"TE59","335","389","363.0","18.6","-"
"460",15,"Marquise Goodwin",CLE,"WR158","300","373","348.1","25.0","+124"
"461",15,"Colby Parkinson",SEA,"TE60","313","394","360.1","21.1","+61"
"462",15,"Andy Dalton",CAR,"QB46","320","377","349.4","18.2","-"
"463",15,"Rex Burkhead",FA,"RB125","325","393","350.6","21.3","-24"
"464",15,"Justin Shorter",BUF,"WR159","304","358","333.2","20.8","-24"
"465",15,"Josh Oliver",MIN,"TE61","327","394","351.7","20.1","-54"
"466",15,"Jalen Nailor",MIN,"WR160","286","378","358.5","28.4","-"
"467",15,"Peyton Hendershot",DAL,"TE62","338","391","363.0","17.3","-44"
"468",15,"Julius Chestnut",TEN,"RB126","277","337","320.0","25.0","-"
"469",15,"Brock Wright",DET,"TE63","323","391","364.9","17.8","-44"
"470",15,"Zach Wilson",NYJ,"QB47","269","379","338.6","38.3","-133"
"471",15,"Jalen Guyton",LAC,"WR161","226","379","324.0","61.4","-"
"472",15,"Aidan O'Connell",LV,"QB48","313","387","350.2","26.4","-95"
"473",15,"Shi Smith",CAR,"WR162","297","371","328.0","31.8","-"
"474",15,"Zane Gonzalez",SF,"K43","252","346","306.0","39.6","-40"
"475",15,"Sammy Watkins",FA,"WR163","216","306","261.0","45.0","-"
"476",15,"KhaDarel Hodge",ATL,"WR164","297","383","343.2","33.5","-"
"477",15,"Tommy Tremble",CAR,"TE64","272","386","343.6","42.3","-"
"478",15,"Jalen Reagor",MIN,"WR165","292","372","334.8","36.1","-11"
"479",15,"Davis Mills",HOU,"QB49","283","369","336.3","33.3","-"
"480",15,"Erik Ezukanma",MIA,"WR166","290","372","348.6","31.1","-"
"481",16,"Brian Hoyer",LV,"QB50","300","385","349.6","27.6","-"
"482",16,"Brandon Powell",MIN,"WR167","271","395","358.3","42.2","+85"
"483",16,"Ronnie Rivers",LAR,"RB127","301","376","340.3","28.6","-"
"484",16,"Teagan Quitoriano",HOU,"TE65","274","374","341.8","39.8","-"
"485",16,"Trey Sermon",PHI,"RB128","312","373","353.0","21.6","-4"
"486",16,"Jaleel McLaughlin",DEN,"RB129","307","354","323.7","21.5","-121"
"487",16,"Malik Willis",TEN,"QB51","338","397","370.1","22.1","+5"
"488",16,"Jarrett Stidham",DEN,"QB52","310","397","361.8","28.9","+14"
"489",16,"Alec Ingold",MIA,"RB130","327","385","344.3","23.8","-"
"490",16,"Deven Thompkins",TB,"WR168","293","383","331.0","38.0","-"
"491",16,"Tyler Badie",DEN,"RB131","304","388","347.8","31.2","-"
"492",16,"Travis Homer",CHI,"RB132","326","388","358.4","23.5","-"
"493",16,"Anthony McFarland Jr.",PIT,"RB133","331","372","359.6","14.9","-"
"494",16,"Elijah Higgins",MIA,"TE66","328","386","360.0","20.1","-47"
"495",16,"Ashton Dulin",IND,"WR169","297","396","360.4","33.3","-"
"496",16,"Elliott Fry",FA,"K44","251","361","306.0","55.0","+81"
"497",16,"Carson Wentz",FA,"QB53","314","358","338.3","18.3","-19"
"498",16,"Damien Williams",LV,"RB134","329","393","354.8","26.2","-"
"499",16,"Quintez Cephus",DET,"WR170","296","328","312.0","16.0","-"
"500",16,"Elijah Dotson",LAC,"RB135","304","320","312.0","8.0","-15"
"501",16,"Kendall Hinton",DEN,"WR171","312","396","341.0","38.9","-"
"502",16,"Mark Ingram II",FA,"RB136","328","392","356.0","23.0","+64"
"503",16,"Derius Davis",LAC,"WR172","286","373","329.5","43.5","+59"
"504",16,"Stetson Bennett",LAR,"QB54","315","397","353.3","33.7","-189"
"505",16,"Equanimeous St. Brown",CHI,"WR173","340","378","364.5","14.6","-147"
"506",16,"Marcus Mariota",PHI,"QB55","281","382","331.5","50.5","-128"
"507",16,"Byron Pringle",WAS,"WR174","298","384","353.7","39.4","-42"
"508",16,"Danny Gray",SF,"WR175","327","379","365.3","22.1","-"
"509",16,"Joshua Dobbs",ARI,"QB56","320","346","333.0","13.0","-54"
"510",16,"Josiah Deguara",GB,"TE67","343","393","366.5","19.4","-"
"511",16,"Patrick Ricard",BAL,"RB137","334","343","338.5","4.5","-57"
"512",16,"Payne Durham",TB,"TE68","344","384","358.7","18.0","-"
"513",16,"James Mitchell",DET,"TE69","344","383","361.0","16.3","-2"
"514",16,"O.J. Howard",FA,"TE70","294","394","344.0","50.0","-"
"515",16,"Dare Ogunbowale",HOU,"RB138","331","383","362.3","22.5","-"
"516",16,"John Bates",WAS,"TE71","354","385","366.7","13.3","-72"
"517",16,"Lew Nichols III",GB,"RB139","339","364","351.5","12.5","-"
"518",16,"Jimmy Graham",NO,"TE72","339","373","356.0","17.0","-207"
"519",16,"Montrell Washington",DEN,"WR176","343","369","356.0","13.0","-"
"520",16,"Mike Davis",FA,"RB140","355","359","357.0","2.0","-"
"521",16,"Skylar Thompson",MIA,"QB57","349","367","358.0","9.0","-52"
"522",16,"Racey McMath",TEN,"WR177","350","372","361.0","11.0","+58"
"523",16,"Eric Saubert",MIA,"TE73","356","394","373.7","15.6","+29"
"524",16,"Hendon Hooker",DET,"QB58","360","364","362.0","2.0","-123"
"525",16,"Charlie Kolar",BAL,"TE74","336","391","363.5","27.5","+6"
"526",16,"C.J. Ham",MIN,"RB141","363","368","365.5","2.5","-64"
"527",16,"Josh Whyle",TEN,"TE75","371","391","381.0","10.0","+21"
"528",16,"Trevor Siemian",CIN,"QB59","373","391","382.0","9.0","-93"
"529",16,"Ian Thomas",CAR,"TE76","381","391","386.0","5.0","-"
