"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"235",11,"Terrace Marshall Jr.",CAR,"WR92","156","361","231.1","30.3","-"
"236",11,"Desmond Ridder",ATL,"QB31","148","327","244.1","41.5","+40"
"237",11,"Cleveland Browns",CLE,"DST15","178","291","233.0","19.1","-44"
"238",11,"Zach Ertz",ARI,"TE28","136","376","245.4","42.0","-52"
"239",11,"Mack Hollins",ATL,"WR93","140","297","231.9","27.3","-"
"240",11,"Marvin Jones Jr.",DET,"WR94","159","350","239.8","28.5","+96"
"241",11,"Michael Carter",NYJ,"RB63","149","388","241.7","50.6","+36"
"242",11,"Tampa Bay Buccaneers",TB,"DST16","165","325","235.8","32.1","+41"
"243",11,"Luke Musgrave",GB,"TE29","138","376","228.2","55.8","-44"
"244",11,"Michael Mayer",LV,"TE30","157","348","248.5","39.0","-40"
"245",12,"Green Bay Packers",GB,"DST17","200","307","245.8","25.2","-72"
"246",12,"Sterling Shepard",NYG,"WR95","109","385","242.1","42.9","+153"
"247",12,"Los Angeles Chargers",LAC,"DST18","199","343","242.5","22.6","-11"
"248",12,"Khalil Shakir",BUF,"WR96","144","346","243.0","37.4","+81"
"249",12,"Kyren Williams",LAR,"RB64","138","359","258.7","45.8","+25"
"250",12,"Greg Joseph",MIN,"K11","204","302","251.2","18.7","-20"
"251",12,"Chase Edmonds",TB,"RB65","128","360","250.2","41.9","+27"
"252",12,"Leonard Fournette",FA,"RB66","139","364","229.8","52.6","-47"
"253",12,"Graham Gano",NYG,"K12","213","318","250.4","21.2","-100"
"254",12,"Josh Reynolds",DET,"WR97","175","367","243.6","30.8","-"
"255",12,"Matt Gay",IND,"K13","191","308","247.5","24.2","-72"
"256",12,"Kareem Hunt",FA,"RB67","124","338","237.8","43.1","-50"
"257",12,"Cade Otton",TB,"TE31","153","349","259.4","38.2","+45"
"258",12,"Chase Brown",CIN,"RB68","149","349","254.2","42.2","-8"
"259",12,"Greg Zuerlein",NYJ,"K14","212","339","254.9","24.9","-49"
"260",12,"Ty Chandler",MIN,"RB69","132","384","242.8","54.8","-12"
"261",12,"Jacksonville Jaguars",JAC,"DST19","170","355","259.7","29.6","-66"
"262",12,"Kendrick Bourne",NE,"WR98","185","364","246.4","26.8","-"
"263",12,"Tyler Conklin",NYJ,"TE32","152","356","245.8","50.7","-36"
"264",12,"Jelani Woods",IND,"TE33","153","341","267.9","33.0","+93"
"265",12,"Baker Mayfield",TB,"QB32","178","343","272.3","35.5","-20"
"266",12,"Wil Lutz",NO,"K15","221","308","263.4","17.7","-34"
"267",12,"Taysom Hill",NO,"TE34","142","360","268.8","42.6","-79"
"268",12,"Nick Folk",NE,"K16","209","302","245.0","24.9","-53"
"269",12,"Indianapolis Colts",IND,"DST20","180","323","266.1","27.4","+17"
"270",12,"Isaiah Likely",BAL,"TE35","175","349","274.9","31.1","-6"
"271",12,"Michael Wilson",ARI,"WR99","122","340","216.7","46.7","-4"
"272",12,"Puka Nacua",LAR,"WR100","144","368","235.4","42.9","+50"
"273",12,"Deuce Vaughn",DAL,"RB70","120","360","265.7","52.4","-99"
"274",12,"Zach Evans",LAR,"RB71","184","388","279.2","36.1","+54"
"275",12,"Isaiah McKenzie",IND,"WR101","209","351","261.9","35.0","+104"
"276",12,"Cedric Tillman",CLE,"WR102","174","340","259.3","31.0","+274"
"277",12,"Laviska Shenault Jr.",CAR,"WR103","206","352","269.2","27.4","-"
"278",12,"Pierre Strong Jr.",NE,"RB72","189","383","276.9","40.3","+60"
"279",12,"Quez Watkins",PHI,"WR104","212","375","268.8","24.3","+93"
"280",12,"Chris Boswell",PIT,"K17","184","339","282.5","23.5","-47"
"281",12,"Carolina Panthers",CAR,"DST21","192","355","284.1","28.7","-40"
"282",12,"Logan Thomas",WAS,"TE36","182","368","278.3","32.0","+78"
"283",12,"Seattle Seahawks",SEA,"DST22","171","355","284.6","39.4","-91"
"284",12,"Jake Moody",SF,"K18","204","339","262.8","33.0","-75"
"285",12,"Isaiah Spiller",LAC,"RB73","189","382","283.4","35.5","-"
"286",12,"Justyn Ross",KC,"WR105","151","379","246.4","51.4","-67"
"287",12,"Matt Prater",ARI,"K19","221","342","269.9","25.7","-16"
"288",12,"Riley Patterson",DET,"K20","215","339","280.7","25.8","-39"
"289",12,"Evan Hull",IND,"RB74","168","380","281.6","48.9","-20"
"290",12,"Keaontay Ingram",ARI,"RB75","169","365","278.9","46.3","-"
"291",12,"Los Angeles Rams",LAR,"DST23","187","351","281.7","33.9","-47"
"292",12,"Braxton Berrios",MIA,"WR106","203","345","267.9","27.4","-"
"293",12,"Latavius Murray",BUF,"RB76","181","385","291.2","37.4","+28"
"294",12,"New York Giants",NYG,"DST24","190","355","296.0","28.8","-65"
"295",13,"Russell Gage",TB,"WR107","136","350","226.7","39.9","-"
"296",13,"Tennessee Titans",TEN,"DST25","187","352","298.8","31.9","-7"
"297",13,"Nick Westbrook-Ikhine",TEN,"WR108","214","365","279.5","29.6","-"
"298",13,"Dustin Hopkins",LAC,"K21","219","332","283.3","24.8","+2"
"299",13,"Chris Evans",CIN,"RB77","149","386","297.2","51.3","-4"
"300",13,"Zack Moss",IND,"RB78","214","368","296.3","33.4","-28"
"301",13,"Sean Tucker",TB,"RB79","168","392","295.8","49.6","-20"
"302",13,"Cairo Santos",CHI,"K22","191","353","299.9","26.2","+5"
"303",13,"Matt Breida",NYG,"RB80","192","378","299.3","29.5","+9"
"304",13,"Israel Abanikanda",NYJ,"RB81","224","380","298.0","28.6","+22"
"305",13,"Devin Duvernay",BAL,"WR109","215","396","288.2","39.0","+124"
"306",13,"Jordan Mason",SF,"RB82","227","380","297.1","29.3","+153"
"307",13,"Detroit Lions",DET,"DST26","180","355","303.1","32.8","-68"
"308",13,"Greg Dortch",ARI,"WR110","140","369","257.8","42.8","-"
"309",13,"Ka'imi Fairbairn",HOU,"K23","184","353","304.9","22.8","-15"
"310",13,"JaMycal Hasty",JAC,"RB83","183","383","302.1","32.5","-"
