PLAYER NAME,TEAM,BEST,WORST,AVG.,STD.DEV
Khari Blasingame,TEN,106,148,131.5,15.5
Reggie Bonnafon,CAR,91,173,144.6,17.1
Bo Scarbrough,FA,116,162,132.8,17.6
Dedrick Mills,DET,99,176,134.3,29.4
Theo Riddick,LV,92,156,148.6,5.2
Jacques Patrick,CIN,59,186,137.3,50
Lynn Bowden Jr.,MIA,85,87,86,1
Jakob Johnson,NE,88,152,126,27.5
Buddy Howell,HOU,104,171,144.5,25
Rodney Smith,CAR,121,175,144.8,19.4
Lamar Miller,WAS,104,187,156.8,16.2
Andy Janovich,CLE,124,161,147.3,14.8
Ty'Son Williams,BAL,134,164,147.5,10.8
Otis Anderson Jr.,LAR,105,158,131.3,21.6
Jonathan Ward,ARI,102,187,148.5,33.3
Dexter Williams,GB,132,166,150.5,12.2
Dwayne Washington,NO,139,174,160,12.5
Brenden Knox,DAL,111,163,137,21.2
Alex Armah,NO,105,169,138,26.2
Rakeem Boyd,FA,108,164,138.7,23.2
Caleb Huntley,ATL,94,126,110,16
JaQuan Hardy,DAL,110,165,140.7,22.9
Troymaine Pope,TB,104,168,142.7,27.8
Derek Watt,PIT,101,196,159.5,36.6
Tre Harbison,CLE,100,182,149.7,35.6
Sewo Olonilua,DAL,127,176,151.7,20
Taiwan Jones,BUF,132,176,152.3,18.1
Brandon Bolden,NE,136,191,164.8,19.7
John Kelly,CLE,148,173,164.8,9.8
Ryan Nall,CHI,143,180,156.3,16.8
Mekhi Sargent,TEN,97,195,158.7,43.8
Michael Warren II,DET,136,191,161.7,22.6
Scottie Phillips,HOU,142,182,161.7,16.3
Austin Walter,NYJ,148,178,161.7,12.4
Dontrell Hilliard,HOU,141,190,162.7,20.4
Reggie Gilliam,BUF,114,179,146.5,32.5
Artavis Pierce,CHI,140,189,164.3,20
Elijhaa Penny,NYG,123,181,152,29
C.J. Prosise,TB,158,177,167,7.8
Cullen Gillaspia,NYG,121,186,153.5,32.5
Tony Jones Jr.,NO,160,183,169.3,9.9
Jonathan Williams,WAS,155,197,171.3,18.4
Alfred Morris,FA,152,196,172.7,18.1
Ben Mason,BAL,146,193,174,20.2
Nate McCrary,BAL,154,200,175,19
Darius Anderson,IND,160,201,175.3,18.3
Tavien Feaster,ARI,129,199,164,35
Khalfani Muhammad,ARI,160,192,174.7,13.2
Jason Huntley,PHI,158,188,175,12.6
Darius Bradwell,LAC,134,207,170.5,36.5
Jordan Scarlett,MIA,159,194,176,14.3
LeVante Bellamy,DEN,138,195,166.5,28.5
Johnny Stanton,CLE,152,205,178.5,26.5
Damarea Crockett,DEN,153,198,175.5,22.5
Deon Jackson,IND,166,185,175.5,9.5
Adrian Killins Jr.,PHI,178,209,188.3,14.6
Patrick Taylor Jr.,GB,163,203,183,20
Spencer Brown,CAR,179,188,183.5,4.5
Josh Johnson,SEA,181,190,185.5,4.5
CJ Marable,CHI,174,206,190,16
Tory Carter,TEN,186,208,197,11
