"PPR_POS_RK",PPR_POS_TIERS,"PLAYER NAME",TEAM,"PPR_FAN PTS","RUSH_ATT","RUSH_YDS","RUSH_TDS","REC_TGT","REC","REC_YDS","REC_TDS"
"48",6,"Gus Edwards",BAL,"128.2","144","723","6","13","9","129","0"
"49",6,"James White",NE,"116.6","35","121","2","62","49","375","1"
"50",6,"Phillip Lindsay",HOU,"66","118","502","1","14","7","28","0"
"51",6,"Alexander Mattison",MIN,"86.9","96","434","2","15","13","125","1"
"52",6,"Tevin Coleman",NYJ,"12.7","28","53","0","5","4","34","0"
"53",6,"Rashaad Penny",SEA,"3.4","11","34","0","0","0","0","0"
"54",6,"Giovani Bernard",TB,"158.1","124","416","3","59","47","355","3"
"55",6,"Kenneth Gainwell",PHI,"0","0","0","0","0","0","0","0"
"56",7,"Darrel Williams",KC,"54.5","39","169","1","26","18","116","0"
"57",7,"Salvon Ahmed",MIA,"69","75","319","3","14","11","61","0"
"58",7,"Marlon Mack",IND,"8.6","4","26","0","3","3","30","0"
"59",7,"Sony Michel",NE,"75.3","79","449","1","9","7","114","1"
"60",7,"Damien Williams",CHI,"0","0","0","0","0","0","0","0"
"61",7,"Darrynton Evans",TEN,"16.1","14","54","0","4","2","27","1"
"62",7,"Joshua Kelley",LAC,"81.2","111","354","2","23","23","148","0"
"63",7,"Justin Jackson",LAC,"65.3","59","270","0","24","19","173","0"
"64",7,"Chuba Hubbard",CAR,"0","0","0","0","0","0","0","0"
"65",7,"Carlos Hyde",JAC,"84.9","81","356","4","20","16","93","0"
"66",7,"Malcolm Brown",MIA,"109.1","101","419","5","33","23","162","0"
"67",7,"Mark Ingram II",HOU,"52.9","72","299","2","8","6","50","0"
"68",7,"Benny Snell Jr.",PIT,"74.9","111","368","4","14","10","61","0"
"69",7,"Jerick McKinnon",KC,"126.2","81","319","5","46","33","253","1"
"70",7,"La'Mical Perine",NYJ,"52.5","64","232","2","15","11","63","0"
"71",7,"Boston Scott",PHI,"95.6","80","374","1","36","25","212","1"
"72",7,"Wayne Gallman",SF,"136.6","147","682","6","27","21","114","0"
"73",7,"Kerryon Johnson",PHI,"71.8","52","181","2","26","19","187","1"
"74",7,"Jeff Wilson Jr.",SF,"142.3","126","600","7","28","13","133","3"
"75",7,"Rhamondre Stevenson",NE,"0","0","0","0","0","0","0","0"
"76",7,"Matt Breida",BUF,"42","59","254","0","10","9","96","0"
"77",7,"Anthony McFarland Jr.",PIT,"22.7","33","113","0","10","6","54","0"
