PPR_RK,PPR_TIERS,PLAYER NAME,TEAM,PPR_AVG_FAN PTS,AVG_PASS_YDS,AVG_PASS_TDS,AVG_REC,AVG_REC_YDS,AVG_REC_TDS,AVG_RUSH_ATT,AVG_RUSH_YDS,AVG_RUSH_TDS
"242",11,"Tampa Bay Buccaneers",TB,"6.1","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"243",11,"Luke Musgrave",GB,"0","0","0","0","0","0","0","0","0"
"244",11,"Michael Mayer",LV,"0","0","0","0","0","0","0","0","0"
"245",12,"Green Bay Packers",GB,"6.9","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"246",12,"Sterling Shepard",NYG,"11.5","0.0","0.0","4.3","51.3","0.3","0.0","0.0","0.0"
"247",12,"Los Angeles Chargers",LAC,"6.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"248",12,"Khalil Shakir",BUF,"3.4","0.0","0.0","1.0","16.1","0.1","0.0","0.0","0.0"
"249",12,"Kyren Williams",LAR,"3.8","0.0","0.0","1.1","9.5","0.0","4.4","17.4","0.0"
"250",12,"Greg Joseph",MIN,"7.8","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"251",12,"Chase Edmonds",TB,"5.7","0.0","0.0","1.2","12.1","0.1","5.2","18.8","0.2"
"252",12,"Leonard Fournette",FA,"14.2","0.0","0.0","4.6","32.7","0.2","11.8","41.8","0.2"
"253",12,"Graham Gano",NYG,"8.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"254",12,"Josh Reynolds",DET,"8.7","0.0","0.0","3.2","39.9","0.3","0.0","0.0","0.0"
"255",12,"Matt Gay",IND,"7.8","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"256",12,"Kareem Hunt",FA,"7.5","0.0","0.0","2.1","12.4","0.1","7.2","27.5","0.2"
"257",12,"Cade Otton",TB,"5.8","0.0","0.0","2.6","24.4","0.1","0.0","0.0","0.0"
"258",12,"Chase Brown",CIN,"0","0","0","0","0","0","0","0","0"
"259",12,"Greg Zuerlein",NYJ,"8.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"260",12,"Ty Chandler",MIN,"1.0","0.0","0.0","0.0","0.0","0.0","3.0","10.0","0.0"
"261",12,"Jacksonville Jaguars",JAC,"8.2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"262",12,"Kendrick Bourne",NE,"5.5","0.0","0.0","2.2","27.1","0.1","0.4","2.4","0.0"
"263",12,"Tyler Conklin",NYJ,"7.7","0.0","0.0","3.4","32.5","0.2","0.1","0.2","0.0"
"264",12,"Jelani Woods",IND,"6.2","0.0","0.0","2.1","26.0","0.3","0.0","0.0","0.0"
"265",12,"Baker Mayfield",TB,"10.8","180.3","0.8","0.0","0.0","0.0","2.6","7.4","0.1"
"266",12,"Wil Lutz",NO,"6.7","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"267",12,"Taysom Hill",NO,"9.1","0.0","0.0","0.6","4.8","0.1","6.0","35.9","0.4"
