PLAYER NAME,TEAM,BEST,WORST,AVG.,STD.DEV
Russell Gage,ATL,81,276,174.4,38.4
Christian Kirk,ARI,97,262,178.4,29.5
Sterling Shepard,NYG,99,354,176.8,33.5
Justin Fields,CHI,95,338,176.9,50.8
San Francisco 49ers,SF,93,225,171.6,17.7
Justin Tucker,BAL,95,204,171.9,7.7
Indianapolis Colts,IND,152,258,171,18.9
Parris Campbell,IND,79,262,183.6,27.3
Washington Football Team,WAS,138,279,172.2,29.1
Tampa Bay Buccaneers,TB,139,243,177.4,25
Sam Darnold,CAR,114,320,188.9,41.1
Sony Michel,NE,112,327,182.4,30
Harrison Butker,KC,101,221,181.3,10.3
Elijah Moore,NYJ,75,351,177.7,50.5
Anthony Firkser,TEN,113,352,182,44.3
Breshad Perriman,DET,106,271,188.8,27.1
Younghoe Koo,ATL,99,287,185.1,14.8
Zach Ertz,PHI,63,305,191.9,38.2
Salvon Ahmed,MIA,119,365,186.4,34.8
Emmanuel Sanders,BUF,106,244,191,24.1
Marlon Mack,IND,103,377,183.7,45.4
Eric Ebron,PIT,108,268,198.7,31.5
Buffalo Bills,BUF,89,250,190.3,20.1
Giovani Bernard,TB,132,310,198.5,39
Darius Slayton,NYG,122,343,197.3,32.5
New Orleans Saints,NO,91,322,191.5,25.7
New England Patriots,NE,140,307,191.6,21.5
Kenneth Gainwell,PHI,115,362,200.7,49.5
Jakobi Meyers,NE,101,285,200.9,34.1
Greg Zuerlein,DAL,106,251,197.3,14.1
Allen Lazard,GB,136,295,199.6,26.9
Kansas City Chiefs,KC,140,294,194.3,22.8
Rondale Moore,ARI,111,333,202.1,44.6
Zach Wilson,NYJ,94,367,213.1,53.7
Joshua Kelley,LAC,120,283,200.3,27.2
Wil Lutz,NO,100,281,207.1,20.3
Trey Lance,SF,103,359,212.5,71.8
Denzel Mims,NYJ,129,369,206.3,35.7
Jared Goff,DET,96,338,215.8,42.8
Darrel Williams,KC,134,342,211.3,44.5
Jameis Winston,NO,98,385,213.1,61.8
Jason Sanders,MIA,111,233,211.6,10.5
A.J. Green,ARI,62,330,216,27.4
Cam Newton,NE,81,334,222.8,57.7
Marquez Valdes-Scantling,GB,130,290,214.7,22.6
Hayden Hurst,ATL,127,291,212.5,42.8
Chicago Bears,CHI,92,307,216.7,22.4
Benny Snell Jr.,PIT,125,357,208.2,44.7
Los Angeles Chargers,LAC,159,347,217.8,17.7
Miami Dolphins,MIA,144,338,216.3,32.9
Malcolm Brown,MIA,110,316,217,34.8
Sammy Watkins,BAL,88,339,224,29.9
Carlos Hyde,JAC,149,316,212.1,38.4
Bryan Edwards,LV,88,379,224.6,32.1
Denver Broncos,DEN,97,303,224.9,20.8
Rodrigo Blankenship,IND,123,309,224.3,22
Darrynton Evans,TEN,149,360,222.8,41.1
Matt Prater,ARI,112,302,226.4,16.7
O.J. Howard,TB,132,294,228.6,27.2
Dawson Knox,BUF,135,357,228.7,33.7
Amon-Ra St. Brown,DET,118,354,226,44.2
Robbie Gould,SF,110,287,229.6,15.5
Cleveland Browns,CLE,103,314,231.4,32.2
Mark Ingram II,HOU,144,327,221.1,40.2
Chuba Hubbard,CAR,126,381,228,51.7
Tyler Bass,BUF,133,346,234.9,35.4
Jeff Wilson Jr.,SF,112,382,210.4,59.4
Jason Myers,SEA,113,302,237,12.8
Damien Williams,CHI,134,362,235.3,43.1
Ryan Succop,TB,119,287,238.1,22.7
Terrace Marshall Jr.,CAR,151,355,232.2,44.1
Randall Cobb,GB,99,370,234.6,40.9
Seattle Seahawks,SEA,159,303,238.5,19.2
Josh Reynolds,TEN,148,306,235.5,32.1
DeSean Jackson,LAR,124,369,234.4,32
La'Mical Perine,NYJ,154,329,229.7,41.5
Justin Jackson,LAC,134,351,235.3,34.2
Green Bay Packers,GB,210,303,241.3,18.2
Michael Badgley,LAC,114,309,246.1,12.1
Minnesota Vikings,MIN,164,318,245.9,18.6
Deshaun Watson,HOU,61,378,229.6,87.9
Tyrell Williams,DET,102,364,234.9,52.9
KJ Hamler,DEN,124,301,243.9,24.4
Mason Crosby,GB,116,325,252.2,17.1
Tim Patrick,DEN,189,373,247.6,33.3
Taysom Hill,NO,88,361,261.8,65.5
Dan Arnold,CAR,121,362,246.8,38.8
Kerryon Johnson,PHI,131,363,245.1,43.5
Anthony Miller,HOU,189,333,246.8,28.8
Rhamondre Stevenson,NE,132,358,240.6,52.7
Philadelphia Eagles,PHI,145,315,256,27.2
Van Jefferson,LAR,81,306,251.9,27.4
Hunter Renfrow,LV,143,337,258.2,27.5
Wayne Gallman,SF,149,344,250.9,39.1
Javian Hawkins,ATL,104,387,235.9,52.6
Kadarius Toney,NYG,151,364,253.7,36.9
James Washington,PIT,196,370,252.6,34.7
Daniel Carlson,LV,128,330,264.6,24.3
Jake Elliott,PHI,108,353,267,29.2
Chris Herndon IV,NYJ,168,348,260.5,27.1
Brandon McManus,DEN,117,300,270.4,19
Jack Doyle,IND,114,360,261.2,32.6
