"RK",TIERS,"PLAYER NAME",TEAM,"FAN PTS","PASS_YDS","PASS_TDS","REC","REC_YDS","REC_TDS","RUSH_ATT","RUSH_YDS","RUSH_TDS"
"103",8,"Geno Smith",SEA,"314.9","4282","30","0","0","0","68","366","1"
"104",8,"Zach Charbonnet",SEA,"0","0","0","0","0","0","0","0","0"
"105",8,"Quentin Johnston",LAC,"0","0","0","0","0","0","0","0","0"
"106",8,"Rashod Bateman",BAL,"38.5","0","0","15","285","2","0","0","0"
"107",8,"Anthony Richardson",IND,"0","0","0","0","0","0","0","0","0"
"108",8,"Pat Freiermuth",PIT,"85.2","0","0","63","732","2","0","0","0"
"109",8,"Kadarius Toney",KC,"41.3","0","0","16","171","2","7","82","1"
"110",8,"Michael Thomas",NO,"35.1","0","0","16","171","3","0","0","0"
"111",8,"Evan Engram",JAC,"103.9","0","0","73","766","4","2","13","0"
"112",8,"Elijah Mitchell",SF,"40.6","0","0","3","7","0","45","279","2"
"113",8,"Skyy Moore",KC,"21.4","0","0","22","250","0","3","24","0"
"114",8,"Damien Harris",BUF,"73.9","0","0","17","97","0","106","462","3"
"115",8,"Tyler Allgeier",ATL,"143.4","0","0","16","139","1","210","1035","3"
"116",8,"David Njoku",CLE,"84","0","0","58","628","4","2","-8","0"
"117",8,"JuJu Smith-Schuster",NE,"107.3","0","0","78","933","3","0","0","0"
"118",8,"Aaron Rodgers",NYJ,"251.2","3695","26","0","0","0","34","94","1"
"119",8,"Jakobi Meyers",LV,"113.3","0","0","67","804","6","2","-11","0"
"120",8,"Jeff Wilson Jr.",MIA,"136.5","0","0","22","185","1","176","860","5"
"121",8,"Nico Collins",HOU,"60.1","0","0","37","481","2","0","0","0"
"122",8,"Allen Lazard",NYJ,"114.8","0","0","60","788","6","2","0","0"
"123",9,"Jaylen Warren",PIT,"65.3","0","0","28","214","0","77","379","1"
"124",9,"Raheem Mostert",MIA,"137.3","0","0","31","202","2","181","891","3"
"125",9,"Odell Beckham Jr.",BAL,"0","0","0","0","0","0","0","0","0"
"126",9,"Jared Goff",DET,"290.3","4438","29","0","0","0","29","73","0"
"127",9,"De'Von Achane",MIA,"0","0","0","0","0","0","0","0","0"
"128",9,"Jerick McKinnon",KC,"140.3","0","0","56","512","9","72","291","1"
"129",9,"Ezekiel Elliott",NE,"168.8","0","0","17","92","0","231","876","12"
"130",9,"Jameson Williams",DET,"14.1","0","0","1","41","1","1","40","0"
"131",9,"Darnell Mooney",CHI,"61.5","0","0","40","493","2","1","2","0"
"132",9,"Kenneth Gainwell",PHI,"64.9","0","0","23","169","0","53","240","4"
"133",9,"Chigoziem Okonkwo",TEN,"65.2","0","0","32","450","3","3","2","0"
"134",9,"Russell Wilson",DEN,"235.8","3524","16","0","0","0","55","277","3"
"135",9,"Dalton Schultz",HOU,"85.7","0","0","57","577","5","0","0","0"
"136",9,"Tyler Boyd",CIN,"116.5","0","0","59","776","6","0","0","0"
"137",9,"Tank Bigsby",JAC,"0","0","0","0","0","0","0","0","0"
"138",9,"Devin Singletary",HOU,"140.2","0","0","38","280","1","178","822","5"
"139",9,"D'Onta Foreman",CHI,"126","0","0","5","26","0","203","914","5"
"140",9,"Romeo Doubs",GB,"59.6","0","0","42","425","3","1","11","0"
"141",9,"Cole Kmet",CHI,"97.3","0","0","50","544","7","2","9","0"
"142",9,"DJ Chark Jr.",CAR,"68.2","0","0","30","502","3","0","0","0"
"143",9,"Zay Jones",JAC,"116.1","0","0","82","823","5","4","18","0"
"144",9,"Michael Gallup",DAL,"66.4","0","0","39","424","4","0","0","0"
"145",9,"Tyler Higbee",LAR,"80","0","0","72","620","3","0","0","0"
"146",9,"Adam Thielen",CAR,"110","0","0","70","716","6","1","4","0"
"147",9,"Roschon Johnson",CHI,"0","0","0","0","0","0","0","0","0"
"148",9,"Dalton Kincaid",BUF,"0","0","0","0","0","0","0","0","0"
"149",9,"Greg Dulcich",DEN,"53.1","0","0","33","411","2","0","0","0"
"150",9,"Kendre Miller",NO,"0","0","0","0","0","0","0","0","0"
"151",9,"Derek Carr",NO,"233.1","3522","24","0","0","0","24","102","0"
"152",9,"Matthew Stafford",LAR,"116.4","2087","10","0","0","0","13","9","1"
"153",9,"Juwan Johnson",NO,"92.8","0","0","42","508","7","0","0","0"
"154",9,"Rondale Moore",ARI,"46.9","0","0","41","414","1","6","-5","0"
"155",9,"Gus Edwards",BAL,"59.3","0","0","0","0","0","87","433","3"
"156",9,"Kenny Pickett",PIT,"158.9","2404","7","0","0","0","55","237","3"
"157",10,"Chuba Hubbard",CAR,"73.7","0","0","14","171","0","95","466","2"
"158",10,"Donovan Peoples-Jones",CLE,"106.1","0","0","61","839","3","1","2","0"
"159",10,"Gerald Everett",LAC,"81.5","0","0","58","555","4","1","0","0"
"160",10,"Jordan Love",GB,"11.7","195","1","0","0","0","1","-1","0"
"161",10,"Rashid Shaheed",NO,"72.5","0","0","28","488","2","4","57","1"
"162",10,"Alec Pierce",IND,"71.3","0","0","41","593","2","0","0","0"
"163",10,"San Francisco 49ers",SF,"163","0","0","0","0","0","0","0","0"
"164",10,"Brock Purdy",SF,"110.3","1374","13","0","0","0","22","13","1"
"165",10,"Van Jefferson",LAR,"54.9","0","0","24","369","3","0","0","0"
"166",10,"K.J. Osborn",MIN,"95.6","0","0","60","650","5","3","6","0"
"167",10,"Sam LaPorta",DET,"0","0","0","0","0","0","0","0","0"
"168",10,"Jerome Ford",CLE,"1.2","0","0","0","0","0","8","12","0"
"169",10,"Zamir White",LV,"7","0","0","0","0","0","17","70","0"
"170",10,"Dallas Cowboys",DAL,"170","0","0","0","0","0","0","0","0"
"171",10,"Curtis Samuel",WAS,"112.3","0","0","64","656","4","38","187","1"
"172",10,"Jonathan Mingo",CAR,"0","0","0","0","0","0","0","0","0"
"173",10,"Taysom Hill",NO,"136.8","0","0","9","77","2","96","575","7"
"174",10,"Philadelphia Eagles",PHI,"151","0","0","0","0","0","0","0","0"
"175",10,"Clyde Edwards-Helaire",KC,"81.3","0","0","17","151","3","71","302","3"
"176",10,"Justin Tucker",BAL,"164","0","0","0","0","0","0","0","0"
"177",10,"Marquez Valdes-Scantling",KC,"80.4","0","0","42","687","2","1","-3","0"
"178",10,"Buffalo Bills",BUF,"152","0","0","0","0","0","0","0","0"
"179",10,"Marvin Mims Jr.",DEN,"0","0","0","0","0","0","0","0","0"
"180",10,"Isaiah Hodgins",NYG,"63.2","0","0","37","392","4","0","0","0"
"181",10,"Tyler Bass",BUF,"146","0","0","0","0","0","0","0","0"
"182",10,"Tyjae Spears",TEN,"0","0","0","0","0","0","0","0","0"
"183",10,"Rashee Rice",KC,"0","0","0","0","0","0","0","0","0"
"184",10,"New England Patriots",NE,"186","0","0","0","0","0","0","0","0"
"185",10,"DeVante Parker",NE,"71.9","0","0","31","539","3","0","0","0"
"186",10,"Bryce Young",CAR,"0","0","0","0","0","0","0","0","0"
"187",10,"New York Jets",NYJ,"118","0","0","0","0","0","0","0","0"
"188",10,"Sam Howell",WAS,"19.3","169","1","0","0","0","5","35","1"
"189",10,"Darius Slayton",NYG,"82.4","0","0","46","724","2","0","0","0"
"190",10,"Jayden Reed",GB,"0","0","0","0","0","0","0","0","0"
"191",10,"Harrison Butker",KC,"102","0","0","0","0","0","0","0","0"
"192",10,"Ryan Tannehill",TEN,"167.2","2536","13","0","0","0","34","98","2"
"193",10,"Evan McPherson",CIN,"132","0","0","0","0","0","0","0","0"
"194",11,"Baltimore Ravens",BAL,"134","0","0","0","0","0","0","0","0"
"195",11,"Joshua Kelley",LAC,"50.8","0","0","14","101","0","69","287","2"
"196",11,"Cordarrelle Patterson",ATL,"133.7","0","0","21","122","0","144","695","8"
"197",11,"Daniel Carlson",LV,"162","0","0","0","0","0","0","0","0"
"198",11,"Hunter Renfrow",LV,"43","0","0","36","330","2","0","0","0"
"199",11,"Parris Campbell",NYG,"86.1","0","0","63","623","3","5","58","0"
"200",11,"Irv Smith Jr.",CIN,"30.2","0","0","25","182","2","0","0","0"
"201",11,"Kyler Murray",ARI,"207.5","2368","14","0","0","0","67","418","3"
"202",11,"Chase Claypool",CHI,"59","0","0","46","451","1","9","59","0"
"203",11,"John Metchie III",HOU,"0","0","0","0","0","0","0","0","0"
"204",11,"Jalin Hyatt",NYG,"0","0","0","0","0","0","0","0","0"
"205",11,"Denver Broncos",DEN,"102","0","0","0","0","0","0","0","0"
"206",11,"Dawson Knox",BUF,"87.7","0","0","48","517","6","0","0","0"
"207",11,"Kansas City Chiefs",KC,"121","0","0","0","0","0","0","0","0"
"208",11,"Hunter Henry",NE,"62.9","0","0","41","509","2","0","0","0"
"209",11,"New Orleans Saints",NO,"115","0","0","0","0","0","0","0","0"
"210",11,"Mecole Hardman Jr.",NYJ,"68.8","0","0","25","297","4","4","31","2"
"211",11,"Pittsburgh Steelers",PIT,"107","0","0","0","0","0","0","0","0"
"212",11,"Robert Woods",HOU,"62.7","0","0","53","527","2","0","0","0"
"213",11,"Younghoe Koo",ATL,"152","0","0","0","0","0","0","0","0"
"214",11,"Miami Dolphins",MIA,"107","0","0","0","0","0","0","0","0"
"215",11,"Mike Gesicki",NE,"66.2","0","0","32","362","5","0","0","0"
"216",11,"C.J. Stroud",HOU,"0","0","0","0","0","0","0","0","0"
"217",11,"Wan'Dale Robinson",NYG,"28.6","0","0","23","227","1","2","-1","0"
"218",11,"Jimmy Garoppolo",LV,"168.8","2437","16","0","0","0","23","33","2"
"219",11,"Joshua Palmer",LAC,"97.3","0","0","72","769","3","1","4","0"
"220",11,"Cincinnati Bengals",CIN,"115","0","0","0","0","0","0","0","0"
"221",11,"Jason Sanders",MIA,"135","0","0","0","0","0","0","0","0"
"222",11,"Allen Robinson II",PIT,"51.9","0","0","33","339","3","0","0","0"
"223",11,"Josh Downs",IND,"0","0","0","0","0","0","0","0","0"
"224",11,"Brandon McManus",JAC,"135","0","0","0","0","0","0","0","0"
"225",11,"Jake Elliott",PHI,"122","0","0","0","0","0","0","0","0"
"226",11,"Washington Commanders",WAS,"117","0","0","0","0","0","0","0","0"
"227",11,"Jason Myers",SEA,"159","0","0","0","0","0","0","0","0"
"228",11,"Hayden Hurst",CAR,"55.9","0","0","54","439","2","0","0","0"
"229",11,"Mac Jones",NE,"181.1","2997","14","0","0","0","47","102","1"
"230",11,"Cleveland Browns",CLE,"107","0","0","0","0","0","0","0","0"
"231",11,"Chase Edmonds",TB,"58.2","0","0","16","157","1","68","245","2"
"232",11,"Tyquan Thornton",NE,"44.3","0","0","22","247","2","3","16","1"
"233",11,"Michael Carter",NYJ,"85","0","0","41","288","0","114","402","3"
"234",11,"Chase Brown",CIN,"0","0","0","0","0","0","0","0","0"
"235",11,"Tampa Bay Buccaneers",TB,"103","0","0","0","0","0","0","0","0"
"236",11,"Kyren Williams",LAR,"21.5","0","0","9","76","0","35","139","0"
"237",11,"Trey McBride",ARI,"32.5","0","0","29","265","1","0","0","0"
"238",12,"Ty Chandler",MIN,"2","0","0","0","0","0","6","20","0"
"239",12,"Leonard Fournette",FA,"154.1","0","0","73","523","3","189","668","3"
"240",12,"Green Bay Packers",GB,"117","0","0","0","0","0","0","0","0"
"241",12,"Kareem Hunt",FA,"91.8","0","0","35","210","1","123","468","3"
"242",12,"Los Angeles Chargers",LAC,"106","0","0","0","0","0","0","0","0"
"243",12,"Desmond Ridder",ATL,"38.7","708","2","0","0","0","16","64","0"
"244",12,"Terrace Marshall Jr.",CAR,"55","0","0","28","490","1","0","0","0"
"245",12,"Tank Dell",HOU,"0","0","0","0","0","0","0","0","0"
"246",12,"Jake Ferguson",DAL,"29.4","0","0","19","174","2","0","0","0"
"247",12,"Noah Fant",SEA,"72.6","0","0","50","486","4","0","0","0"
"248",12,"Graham Gano",NYG,"145","0","0","0","0","0","0","0","0"
"249",12,"Greg Joseph",MIN,"133","0","0","0","0","0","0","0","0"
"250",12,"Matt Gay",IND,"133","0","0","0","0","0","0","0","0"
"251",12,"Zach Evans",LAR,"0","0","0","0","0","0","0","0","0"
"252",12,"Richie James Jr.",KC,"75.5","0","0","57","569","4","2","6","0"
"253",12,"Pierre Strong Jr.",CLE,"20.2","0","0","7","42","0","10","100","1"
"254",12,"Greg Zuerlein",NYJ,"139","0","0","0","0","0","0","0","0"
"255",12,"Michael Mayer",LV,"0","0","0","0","0","0","0","0","0"
"256",12,"Jelani Woods",IND,"49.2","0","0","25","312","3","0","0","0"
"257",12,"Jacksonville Jaguars",JAC,"139","0","0","0","0","0","0","0","0"
"258",12,"Marvin Jones Jr.",DET,"70.9","0","0","46","529","3","0","0","0"
"259",12,"Isaiah Spiller",LAC,"5.4","0","0","3","13","0","18","41","0"
"260",12,"Deuce Vaughn",DAL,"0","0","0","0","0","0","0","0","0"
"261",12,"Luke Musgrave",GB,"0","0","0","0","0","0","0","0","0"
"262",12,"Mack Hollins",ATL,"97.2","0","0","57","690","4","4","40","0"
"263",12,"Zach Ertz",ARI,"68.6","0","0","47","406","4","0","0","0"
"264",12,"Wil Lutz",NO,"114","0","0","0","0","0","0","0","0"
"265",12,"Khalil Shakir",BUF,"24.1","0","0","10","161","1","0","0","0"
"266",12,"Josh Reynolds",DET,"65.9","0","0","38","479","3","0","0","0"
"267",12,"Indianapolis Colts",IND,"116","0","0","0","0","0","0","0","0"
"268",12,"Nick Folk",NE,"146","0","0","0","0","0","0","0","0"
"269",12,"Sterling Shepard",NYG,"21.4","0","0","13","154","1","0","0","0"
"270",12,"Evan Hull",IND,"0","0","0","0","0","0","0","0","0"
"271",12,"Isaiah Likely",BAL,"55.3","0","0","36","373","3","0","0","0"
"272",12,"Israel Abanikanda",NYJ,"0","0","0","0","0","0","0","0","0"
"273",12,"Latavius Murray",BUF,"127.2","0","0","27","132","0","171","760","6"
"274",12,"Kendrick Bourne",NE,"53.3","0","0","35","434","1","6","39","0"
"275",12,"Cade Otton",TB,"51.1","0","0","42","391","2","0","0","0"
"276",12,"Keaontay Ingram",ARI,"14.1","0","0","4","21","0","27","60","1"
"277",12,"Baker Mayfield",TB,"129.4","2163","10","0","0","0","31","89","1"
"278",12,"Puka Nacua",LAR,"0","0","0","0","0","0","0","0","0"
"279",12,"Zack Moss",IND,"53.5","0","0","11","39","0","93","456","1"
"280",12,"Carolina Panthers",CAR,"118","0","0","0","0","0","0","0","0"
"281",12,"Chris Boswell",PIT,"97","0","0","0","0","0","0","0","0"
"282",12,"Seattle Seahawks",SEA,"117","0","0","0","0","0","0","0","0"
"283",12,"Jake Moody",SF,"0","0","0","0","0","0","0","0","0"
"284",12,"Boston Scott",PHI,"41.2","0","0","5","15","0","54","217","3"
"285",12,"Matt Prater",ARI,"99","0","0","0","0","0","0","0","0"
"286",12,"Sean Tucker",TB,"0","0","0","0","0","0","0","0","0"
"287",12,"Riley Patterson",DET,"140","0","0","0","0","0","0","0","0"
"288",12,"Justyn Ross",KC,"0","0","0","0","0","0","0","0","0"
"289",12,"Michael Wilson",ARI,"0","0","0","0","0","0","0","0","0"
"290",12,"DeWayne McBride",MIN,"0","0","0","0","0","0","0","0","0"
"291",12,"Laviska Shenault Jr.",CAR,"45.7","0","0","27","272","1","9","65","1"
"292",12,"Cedric Tillman",CLE,"0","0","0","0","0","0","0","0","0"
"293",12,"Malik Davis",DAL,"28.4","0","0","6","63","0","38","161","1"
"294",12,"Los Angeles Rams",LAR,"104","0","0","0","0","0","0","0","0"
"295",13,"Matt Breida",NYG,"39.8","0","0","20","118","0","54","220","1"
"296",13,"Tyler Conklin",NYJ,"73.5","0","0","58","552","3","2","3","0"
"297",13,"D'Ernest Johnson",JAC,"2.4","0","0","3","7","0","4","17","0"
"298",13,"Isaiah McKenzie",IND,"77.8","0","0","42","423","4","9","55","1"
"299",13,"New York Giants",NYG,"107","0","0","0","0","0","0","0","0"
"300",13,"Quez Watkins",PHI,"51.5","0","0","33","354","3","3","1","0"
"301",13,"Tennessee Titans",TEN,"104","0","0","0","0","0","0","0","0"
"302",13,"Kayshon Boutte",NE,"0","0","0","0","0","0","0","0","0"
"303",13,"Logan Thomas",WAS,"38.3","0","0","39","323","1","0","0","0"
"304",13,"Dustin Hopkins",LAC,"40","0","0","0","0","0","0","0","0"
"305",13,"Chris Evans",CIN,"9.8","0","0","3","38","1","0","0","0"
"306",13,"Cairo Santos",CHI,"104","0","0","0","0","0","0","0","0"
"307",13,"Detroit Lions",DET,"98","0","0","0","0","0","0","0","0"
"308",13,"Zonovan Knight",NYJ,"46","0","0","13","100","0","85","300","1"
"309",13,"Nick Westbrook-Ikhine",TEN,"57.7","0","0","25","397","3","0","0","0"
"310",13,"Devin Duvernay",BAL,"79.1","0","0","37","407","3","12","84","1"
