PLAYER NAME,GAMES,BOOM,STARTER,BUST
Nick Westbrook-Ikhine,15,0,13.3,73.3
Michael Gallup,9,0,22.2,33.3
Cam Newton,4,0,50,25
Austin Hooper,15,0,13.3,66.7
Marquez Valdes-Scantling,10,10,30,60
Tyrod Taylor,5,0,40,40
D'Onta Foreman,8,0,50,37.5
Justin Jackson,12,8.3,16.7,75
Jalen Guyton,15,0,13.3,80
Texans DST,16,6.3,37.5,43.8
Seahawks DST,16,0,37.5,43.8
Henry Ruggs III,7,0,28.6,42.9
Trevor Siemian,4,0,75,25
Giants DST,16,6.3,25,62.5
Kenny Golladay,13,0,7.7,76.9
D'Ernest Johnson,14,14.3,14.3,71.4
Samaje Perine,15,0,13.3,80
Ronald Jones,16,0,12.5,75
Latavius Murray,13,0,7.7,69.2
Olamide Zaccheaus,16,6.3,6.3,81.3
Tyler Huntley,4,25,25,50
Kadarius Toney,10,10,20,70
Allen Robinson II,11,0,0,81.8
Jacoby Brissett,5,0,0,60
Jerry Jeudy,9,0,22.2,55.6
DeAndre Carter,16,0,12.5,68.8
Chargers DST,16,6.3,31.3,50
Josh Reynolds,11,0,18.2,63.6
Josh Palmer,16,0,12.5,81.3
Foster Moreau,16,0,25,75
Adam Humphries,16,0,0,81.3
Albert Okwuegbunam,13,0,15.4,69.2
Khalil Herbert,15,0,13.3,73.3
DeSean Jackson,15,0,13.3,86.7
Sterling Shepard,7,0,42.9,57.1
Devin Duvernay,16,0,0,75
Freddie Swain,15,0,6.7,80
David Johnson,12,0,0,58.3
Dan Arnold,11,9.1,36.4,54.5
Andy Dalton,4,0,25,75
Cameron Brate,16,0,6.3,75
Jack Doyle,16,6.3,18.8,81.3
Ravens DST,16,6.3,31.3,62.5
Mo Alie-Cox,16,6.3,12.5,87.5
Nico Collins,13,0,0,76.9
Kyle Juszczyk,16,0,6.3,87.5
Jeremy McNichols,14,0,7.1,78.6
Jalen Reagor,16,0,6.3,75
Sammy Watkins,12,0,8.3,75
Ameer Abdullah,14,0,7.1,71.4
Commanders DST,16,0,31.3,37.5
Calvin Ridley,5,0,80,20
Laquon Treadwell,11,0,18.2,54.5
Alex Collins,11,0,18.2,81.8
Jamal Agnew,10,0,20,60
Tre'Quan Smith,10,0,10,60
Ricky Seals-Jones,13,0,15.4,69.2
Geoff Swaim,15,0,20,73.3
T.Y. Hilton,9,0,22.2,55.6
Dontrell Hilliard,6,0,50,33.3
Jonnu Smith,15,0,0,86.7
Chris Conley,16,0,12.5,87.5
Anthony Firkser,14,0,14.3,85.7
Ryan Griffin,14,0,14.3,85.7
Trey Lance,2,0,50,50
Durham Smythe,16,0,0,87.5
Jordan Howard,7,0,28.6,71.4
Hayden Hurst,12,0,16.7,83.3
Falcons DST,16,0,12.5,50
Harrison Bryant,15,0,0,86.7
DeeJay Dallas,13,0,15.4,69.2
Giovani Bernard,12,0,8.3,75
Jets DST,16,0,25,75
Donald Parham,14,0,14.3,78.6
Raiders DST,16,6.3,25,62.5
Adam Trautman,12,0,8.3,83.3
Brevin Jordan,8,0,50,50
Logan Thomas,6,0,50,33.3
Derrick Gore,8,0,25,62.5
Travis Homer,13,0,7.7,92.3
Kyle Rudolph,15,0,6.7,86.7
Jeff Wilson Jr.,8,12.5,25,62.5
Tevin Coleman,10,0,0,80
Jaret Patterson,14,0,7.1,85.7
Robert Tonyan,8,0,25,62.5
Will Dissly,15,0,0,100
John Bates,16,0,6.3,93.8
James O'Shaughnessy,7,0,28.6,57.1
Tommy Tremble,15,0,6.7,86.7
Lions DST,16,0,31.3,50
MyCole Pruitt,16,0,6.3,81.3
Josiah Deguara,15,0,6.7,93.3
Jordan Akins,13,0,7.7,92.3
Juwan Johnson,13,0,7.7,84.6
Jimmy Graham,14,0,14.3,85.7
Marcedes Lewis,16,0,0,93.8
Maxx Williams,5,0,40,60
Pharaoh Brown,14,0,7.1,92.9
Stephen Anderson,16,0,6.3,93.8
Tyler Kroft,8,0,12.5,87.5
Jaguars DST,16,6.3,12.5,81.3
Ian Thomas,16,0,0,100
O.J. Howard,16,0,6.3,93.8
