PLAYER NAME,POS,AVG_RK,AVG_FAN PTS,AVG_PASS_TDS,AVG_PASS_YDS,AVG_REC,AVG_REC_TDS,AVG_REC_YDS,AVG_RUSH_ATT,AVG_RUSH_TDS,AVG_RUSH_YDS,BEST_RK,FAN PTS,PASS_TDS,PASS_YDS,PPR_AVG_RK,PPR_AVG_FAN PTS,PPR_BEST_RK,PPR_FAN PTS,PPR_RK,PPR_STD.DEV_RK,PPR_TIERS,PPR_WORST_RK,REC,REC_TDS,REC_YDS,RK,RUSH_ATT,RUSH_TDS,RUSH_YDS,STD.DEV_RK,TEAM,TIERS,WORST_RK,FULL_SOS,SEASON_SOS,PLAYOFF_SOS,DEPTH,STANDARD_ADP,PPR_ADP
AUSTIN EKELER,RB,121.4,9.6,0.0,0.0,3.6,0.1,31.1,12.8,0.4,44.9,74.0,134.4,0.0,0.0,105.7,13.2,64.0,185.4,107.0,22.5,8.0,159.0,51.0,1.0,436.0,121.0,179.0,5.0,628.0,15.2,WAS,9.0,159.0,16,9,28,2,90.5,97
AUSTIN HOOPER,TE,354.9,1.4,0.0,0.0,1.5,0.0,13.8,0.0,0.0,0.0,331.0,23.4,0.0,0.0,348.1,2.8,324.0,48.4,416.0,18.1,15.0,376.0,25.0,0.0,234.0,431.0,0.0,0.0,0.0,20.3,NE,15.0,391.0,14,20,12,2,500.0,500
AVERY WILLIAMS,RB,355.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,342.0,0.0,0.0,0.0,359.5,0.0,331.0,0.0,497.0,28.5,16.0,388.0,0.0,0.0,0.0,498.0,0.0,0.0,0.0,13.0,ATL,16.0,368.0,7,15,2,3,500.0,500
BAKER MAYFIELD,QB,129.4,16.7,1.6,237.9,0.0,0.0,0.0,3.6,0.1,9.6,112.0,284.1,28.0,4044.0,130.4,16.7,112.0,284.1,129.0,9.4,9.0,168.0,0.0,0.0,0.0,126.0,62.0,1.0,163.0,7.5,TB,9.0,152.0,22,11,24,1,148.0,177
BALTIMORE RAVENS,DEF,156.3,10.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,174.0,0.0,0.0,156.5,10.2,150.0,174.0,159.0,12.0,10.0,210.0,0.0,0.0,0.0,160.0,0.0,0.0,0.0,11.0,BAL,10.0,190.0,23,18,28,0,182.0,82
BEN SINNOTT,TE,220.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0,0.0,0.0,212.1,0.0,123.0,0.0,198.0,38.9,11.0,299.0,0.0,0.0,0.0,213.0,0.0,0.0,0.0,39.6,WAS,11.0,328.0,16,15,20,1,199.5,500
BIJAN ROBINSON,RB,7.0,11.1,0.0,0.0,3.4,0.2,28.6,12.6,0.2,57.4,1.0,188.3,0.0,0.0,6.7,14.5,1.0,246.3,7.0,1.5,2.0,8.0,58.0,4.0,487.0,6.0,214.0,4.0,976.0,2.0,ATL,2.0,12.0,7,15,2,1,5.5,5
BLAKE CORUM,RB,131.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,0.0,141.8,0.0,117.0,0.0,143.0,14.6,9.0,221.0,0.0,0.0,0.0,128.0,0.0,0.0,0.0,16.5,LAR,9.0,217.0,1,2,14,2,109.5,120
BLAKE GRUPE,K,284.4,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,228.0,150.0,0.0,0.0,284.5,8.8,228.0,150.0,286.0,25.2,13.0,332.0,0.0,0.0,0.0,288.0,0.0,0.0,0.0,25.3,NO,13.0,332.0,2,3,15,1,500.0,500
BLAKE WATSON,RB,322.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,272.0,0.0,0.0,0.0,324.7,0.0,270.0,0.0,385.0,36.8,14.0,389.0,0.0,0.0,0.0,386.0,0.0,0.0,0.0,34.4,DEN,14.0,382.0,19,18,20,5,500.0,500
