PLAYER NAME,0-19,20-29,30-39,40-49,50+,AVG_0-19,AVG_20-29,AVG_30-39,AVG_40-49,AVG_50+,AVG_BLK KICK,AVG_DEF TD,AVG_FAN PTS,AVG_FUMR,AVG_INT,AVG_PASS_ATT,AVG_PASS_COMP,AVG_PASS_INT,AVG_PASS_PCT,AVG_PASS_TDS,AVG_PASS_YDS,AVG_PTS VS.,AVG_REC,AVG_REC_TDS,AVG_REC_YDS,AVG_RET TD,AVG_RK,AVG_RUSH_ATT,AVG_RUSH_TDS,AVG_RUSH_YDS,AVG_SACK,AVG_SAFE,AVG_TGT,AVG_XPA,AVG_XPM,AVG_YDS,BEST_RK,BLK KICK,BOOM,BUST,DEF TD,DEPTH,FAN PTS,FULL_SOS,FUMR,INT,PASS_ATT,PASS_COMP,PASS_INT,PASS_PCT,PASS_TDS,PASS_YDS,PLAYOFF_SOS,POS,POS_AVG.,POS_BEST,POS_RK,POS_STD.DEV,POS_TIERS,POS_WORST,PPR_AVG_FAN PTS,PPR_AVG_RK,PPR_BEST_RK,PPR_FAN PTS,PPR_POS_AVG.,PPR_POS_BEST,PPR_POS_RK,PPR_POS_STD.DEV,PPR_POS_TIERS,PPR_POS_WORST,PPR_RK,PPR_STD.DEV_RK,PPR_TIERS,PPR_WORST_RK,PTS VS.,REC,REC_TDS,REC_YDS,RET TD,RK,RUSH_ATT,RUSH_TDS,RUSH_YDS,SACK,SAFE,SEASON_SOS,STARTER,STD.DEV_RK,TEAM,TGT,TIERS,WORST_RK,XPA,XPM,YDS
ISAAC GUERENDO,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,,0.0,0.0,0.0,,362.0,0.0,0.0,0.0,,,0.0,,,,RB79,,0.0,0.0,,3.0,0.0,10.0,,,,,,,0.0,0.0,5.0,RB,80.4,64.0,81.0,9.2,8.0,109.0,0.0,357.0,RB82,0.0,83.7,60.0,79.0,10.8,8.0,116.0,294.0,292.1,13.0,218.0,,0.0,0.0,0.0,,289.0,0.0,0.0,0.0,,,12.0,0.0,280.7,SF,0.0,13.0,228.0,,,
ISAIAH DAVIS,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,,0.0,0.0,0.0,,382.0,0.0,0.0,0.0,,,0.0,,,,RB104,,0.0,0.0,,5.0,0.0,22.0,,,,,,,0.0,0.0,16.0,RB,95.3,80.0,105.0,11.2,10.0,118.0,0.0,393.0,RB103,0.0,99.3,79.0,103.0,10.8,10.0,120.0,364.0,333.5,14.0,276.0,,0.0,0.0,0.0,,367.0,0.0,0.0,0.0,,,24.0,0.0,329.1,NYJ,0.0,14.0,280.0,,,
ISAIAH HODGINS,,,,,,,,,,,,,2.3,,,,,,,0.0,0.0,,1.2,0.2,13.5,,395.0,0.0,0.0,0.0,,,1.9,,,,WR166,,0.0,81.0,,7.0,39.0,4.0,,,,,,,0.0,0.0,1.0,WR,148.2,120.0,149.0,13.8,10.0,176.0,3.5,389.0,WR142,60.0,140.9,102.0,142.0,17.6,10.0,169.0,411.0,348.1,15.0,274.0,,21.0,3.0,230.0,,440.0,0.0,0.0,0.0,,,23.0,6.0,371.0,NYG,33.0,15.0,333.0,,,
ISAIAH LIKELY,,,,,,,,,,,,,4.2,,,,,,,0.0,0.0,,1.8,0.3,24.2,,286.0,0.0,0.0,0.0,,,2.4,,,,TE23,,19.0,75.0,,2.0,71.1,6.0,,,,,,,0.0,0.0,10.0,TE,24.2,14.0,24.0,3.9,4.0,38.0,5.9,294.0,TE25,101.1,27.0,17.0,25.0,5.1,4.0,44.0,212.0,220.1,11.0,137.0,,30.0,5.0,411.0,,194.0,0.0,0.0,0.0,,,12.0,19.0,202.3,BAL,40.0,11.0,111.0,,,
ISAIAH MCKENZIE,,,,,,,,,,,,,0.4,,,,,,,0.0,0.0,,0.8,0.0,6.3,,379.0,0.2,0.0,1.1,,,1.1,,,,WR162,,0.0,100.0,,6.0,5.6,4.0,,,,,,,0.0,0.0,1.0,WR,149.8,121.0,147.0,13.1,10.0,179.0,1.3,383.0,WR168,16.6,151.4,122.0,152.0,13.1,10.0,181.0,480.0,352.7,16.0,336.0,,11.0,0.0,82.0,,463.0,3.0,0.0,14.0,,,23.0,0.0,344.3,NYG,14.0,16.0,315.0,,,
ISAIAH SPILLER,,,,,,,,,,,,,1.4,,,,,,,0.0,0.0,,0.7,0.0,3.8,,364.0,4.1,0.0,10.7,,,0.7,,,,RB95,,0.0,89.0,,4.0,13.0,21.0,,,,,,,0.0,0.0,10.0,RB,90.7,78.0,95.0,6.3,9.0,115.0,2.1,377.0,RB96,19.0,93.6,82.0,94.0,6.1,9.0,115.0,319.0,317.0,13.0,282.0,,6.0,0.0,34.0,,318.0,37.0,0.0,96.0,,,22.0,0.0,310.4,LAC,6.0,13.0,273.0,,,
ISAIAH WILLIAMS,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,0.0,,,,,,0.0,0.0,,0.0,0.0,24.0,,,,,,,,,11.0,,188.8,165.0,199.0,30.8,12.0,248.0,0.0,,,0.0,186.2,164.0,207.0,32.8,12.0,251.0,,,,,,0.0,0.0,0.0,,,0.0,0.0,0.0,,,30.0,0.0,,DET,0.0,,,,,
ISIAH PACHECO,,,,,,,,,,,,,12.1,,,,,,,0.0,0.0,,3.1,0.1,17.4,,55.0,14.6,0.5,66.8,,,3.5,,,,RB10,,21.0,7.0,,1.0,169.9,3.0,,,,,,,0.0,0.0,11.0,RB,11.3,6.0,10.0,2.1,3.0,18.0,15.3,64.0,RB10,213.9,10.9,6.0,10.0,2.3,3.0,18.0,39.0,38.1,5.0,16.0,,44.0,2.0,244.0,,35.0,205.0,7.0,935.0,,,6.0,64.0,35.8,KC,49.0,5.0,14.0,,,
ISRAEL ABANIKANDA,,,,,,,,,,,,,1.3,,,,,,,0.0,0.0,,1.0,0.0,6.1,,337.0,3.1,0.0,10.0,,,1.6,,,,RB78,,0.0,83.0,,3.0,9.3,22.0,,,,,,,0.0,0.0,16.0,RB,80.7,69.0,80.0,5.5,8.0,99.0,2.3,378.0,RB79,16.3,81.9,68.0,81.0,7.4,8.0,106.0,288.0,290.4,13.0,230.0,,7.0,0.0,43.0,,284.0,22.0,0.0,70.0,,,24.0,0.0,285.6,NYJ,11.0,13.0,245.0,,,
JACK STOLL,,,,,,,,,,,,,0.2,,,,,,,,,,0.3,0.0,2.2,,,0.0,0.0,0.0,,,0.5,,,,,,0.0,100.0,,0.0,3.8,25.0,,,,,,,,,3.0,,89.8,83.0,95.0,3.9,8.0,95.0,0.5,,,8.8,87.8,80.0,94.0,4.8,9.0,94.0,,,,,,5.0,0.0,38.0,,,0.0,0.0,0.0,,,31.0,0.0,,NYG,8.0,,,,,
