PLAYER NAME,AVG_FAN PTS,AVG_PASS_ATT,AVG_PASS_COMP,AVG_PASS_INT,AVG_PASS_PCT,AVG_PASS_TDS,AVG_RUSH_ATT,AVG_RUSH_TDS,AVG_RUSH_YDS,AVG_SACK,AVG_YDS,FAN PTS,PASS_ATT,PASS_COMP,PASS_INT,PASS_PCT,PASS_TDS,POS_AVG.,POS_BEST,POS_RK,POS_STD.DEV,POS_TIERS,POS_WORST,RUSH_ATT,RUSH_TDS,RUSH_YDS,SACK,TEAM,YDS,FULL_SOS,SEASON_SOS,PLAYOFF_SOS,BOOM,BUST,STARTER,PPR_BOOM,PPR_BUST,PPR_STARTER,DEPTH
TYLER HUNTLEY,5.1,7.4,4.2,0.0,57%,0.6,3.0,0.0,11.0,0.8,40.6,25.6,37.0,21.0,0.0,57%,3.0,64.6,53,69,7.2,7,73,15.0,0.0,55.0,4.0,CLE,203.0,25,26,18,0,100,0,0,100,0,0
NICK MULLENS,14.9,29.6,20.0,1.6,68%,1.4,2.0,0.0,5.0,2.4,261.2,74.7,148.0,100.0,8.0,68%,7.0,66.1,54,70,8.3,7,82,10.0,0.0,25.0,12.0,MIN,1306.0,3,10,2,0,50,50,0,50,50,0
TOMMY DEVITO,9.7,17.8,11.4,0.3,64%,0.8,3.6,0.1,19.5,3.7,110.1,96.5,178.0,114.0,3.0,64%,8.0,67.3,60,71,6.5,7,78,36.0,1.0,195.0,37.0,NYG,1101.0,9,22,1,0,67,11,0,67,11,3
CLAYTON TUNE,1.2,2.6,1.5,0.3,57%,0.0,1.0,0.1,3.8,0.9,7.8,9.5,21.0,12.0,2.0,57%,0.0,74.8,66,72,6.6,7,87,8.0,1.0,30.0,7.0,ARI,62.0,10,13,9,0,100,0,0,100,0,3
BAILEY ZAPPE,7.8,21.2,12.7,0.9,60%,0.6,1.7,0.1,8.3,2.5,127.2,78.2,212.0,127.0,9.0,60%,6.0,70.0,50,73,13.5,7,94,17.0,1.0,83.0,25.0,NE,1272.0,24,14,30,0,67,11,0,67,11,0
CASE KEENUM,6.3,26.5,17.0,1.5,64%,0.5,1.0,0.0,0.5,3.0,145.5,12.7,53.0,34.0,3.0,64%,1.0,75.8,66,74,6.9,7,91,2.0,0.0,1.0,6.0,HOU,291.0,27,23,28,0,100,0,0,100,0,3
SEAN CLIFFORD,0.7,0.5,0.5,0.0,100%,0.0,1.5,0.0,-1.0,0.0,18.5,1.3,1.0,1.0,0.0,100%,0.0,64.2,48,75,10.8,7,77,3.0,0.0,-2.0,0.0,GB,37.0,6,1,22,0,100,0,0,100,0,2
SKYLAR THOMPSON,0.0,0.0,0.0,0.0,NaN%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN%,0.0,76.8,64,76,10.2,7,98,0.0,0.0,0.0,0.0,MIA,0.0,32,30,32,0,0,0,0,0,0,0
MICHAEL PRATT,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,72.6,63,77,7.2,7,86,0.0,0.0,0.0,0.0,GB,0.0,6,1,22,0,0,0,0,0,0,0
JAREN HALL,1.0,6.7,4.3,0.3,65%,0.0,2.0,0.0,4.7,1.3,56.0,3.1,20.0,13.0,1.0,65%,0.0,82.4,69,78,10.0,8,105,6.0,0.0,14.0,4.0,MIN,168.0,3,10,2,0,100,0,0,100,0,0
COOPER RUSH,0.5,3.0,2.3,0.1,75%,0.0,1.5,0.0,-0.6,0.1,18.0,4.3,24.0,18.0,1.0,75%,0.0,69.5,54,79,9.9,8,82,12.0,0.0,-5.0,1.0,DAL,144.0,2,8,3,0,100,0,0,100,0,2
CJ BEATHARD,2.7,6.6,5.0,0.0,75%,0.1,1.0,0.0,4.4,0.8,43.6,21.5,53.0,40.0,0.0,75%,1.0,78.9,71,80,7.3,8,93,8.0,0.0,35.0,6.0,JAC,349.0,31,28,31,0,100,0,0,100,0,0
STETSON BENNETT,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,74.5,67,81,4.6,8,80,0.0,0.0,0.0,0.0,LAR,0.0,20,17,15,0,0,0,0,0,0,0
JAKE HAENER,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,80.1,73,82,4.7,8,87,0.0,0.0,0.0,0.0,NO,0.0,11,18,8,0,0,0,0,0,0,0
JORDAN TRAVIS,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,75.3,59,83,12.6,8,93,0.0,0.0,0.0,0.0,NYJ,0.0,15,15,11,0,0,0,0,0,0,3
TREVOR SIEMIAN,6.2,30.6,17.2,0.8,56%,0.4,2.2,0.0,8.0,1.6,144.8,31.0,153.0,86.0,4.0,56%,2.0,83.4,72,84,10.9,8,106,11.0,0.0,40.0,8.0,FA,724.0,33,33,33,0,75,0,0,75,0,0
KYLE ALLEN,-0.2,0.0,0.0,0.0,NaN%,0.0,1.9,0.0,-1.9,0.0,0.0,-1.3,0.0,0.0,0.0,NaN%,0.0,84.3,77,85,3.5,8,89,13.0,0.0,-13.0,0.0,PIT,0.0,28,29,23,0,100,0,0,100,0,0
