PLAYER NAME,0-19,20-29,30-39,40-49,50+,AVG_0-19,AVG_20-29,AVG_30-39,AVG_40-49,AVG_50+,AVG_FAN PTS,AVG_XPA,AVG_XPM,FAN PTS,POS_AVG.,POS_BEST,POS_RK,POS_STD.DEV,POS_TIERS,POS_WORST,TEAM,XPA,XPM,FULL_SOS,SEASON_SOS,PLAYOFF_SOS,BOOM,BUST,STARTER
CHAD RYLAND,0.0,4.0,5.0,5.0,2.0,0.0,0.2,0.3,0.3,0.1,4.8,1.5,1.4,81.0,31.1,28.0,36.0,2.8,6.0,38.0,NE,25.0,24.0,21,18,24,0,0,0
CHASE MCLAUGHLIN,0.0,8.0,12.0,2.0,7.0,0.0,0.5,0.7,0.1,0.4,8.0,1.9,1.9,136.0,20.6,9.0,23.0,4.8,4.0,30.0,TB,33.0,33.0,3,1,26,0,0,0
CHRIS BOSWELL,0.0,9.0,7.0,7.0,6.0,0.0,0.5,0.4,0.4,0.4,7.8,1.6,1.6,133.0,20.6,3.0,20.0,3.9,4.0,26.0,PIT,28.0,27.0,14,24,3,0,0,0
DANIEL CARLSON,0.0,10.0,6.0,9.0,1.0,0.0,0.6,0.4,0.5,0.1,7.1,1.9,1.9,121.0,16.8,12.0,16.0,2.3,3.0,23.0,LV,32.0,32.0,25,26,13,0,0,0
DUSTIN HOPKINS,0.0,8.0,7.0,10.0,8.0,0.0,0.5,0.5,0.7,0.5,9.9,1.7,1.6,149.0,13.9,10.0,13.0,4.2,3.0,23.0,CLE,26.0,24.0,4,2,18,0,0,0
EDDY PINEIRO,0.0,6.0,7.0,7.0,5.0,0.0,0.4,0.5,0.5,0.3,7.3,1.3,1.1,109.0,23.6,7.0,22.0,5.0,4.0,29.0,CAR,20.0,17.0,9,9,20,0,0,0
EVAN MCPHERSON,0.0,5.0,6.0,8.0,7.0,0.0,0.3,0.4,0.5,0.4,8.2,2.4,2.4,140.0,9.3,5.0,10.0,1.9,3.0,14.0,CIN,40.0,40.0,26,14,32,0,0,0
GRAHAM GANO,0.0,2.0,3.0,3.0,3.0,0.0,0.3,0.4,0.4,0.4,6.3,1.0,1.0,50.0,25.9,9.0,27.0,5.0,5.0,32.0,NYG,8.0,8.0,19,15,23,0,0,0
GREG JOSEPH,1.0,7.0,9.0,3.0,4.0,0.1,0.4,0.5,0.2,0.2,7.0,2.2,2.1,119.0,23.1,8.0,24.0,5.0,4.0,32.0,GB,38.0,36.0,22,19,22,0,0,0
GREG ZUERLEIN,0.0,8.0,9.0,13.0,5.0,0.0,0.5,0.6,0.8,0.3,8.9,1.0,0.9,143.0,16.7,4.0,15.0,3.7,3.0,22.0,NYJ,16.0,15.0,30,29,12,0,0,0
