,AVG_FAN PTS,AVG_REC,AVG_REC_TDS,AVG_REC_YDS,AVG_RUSH_ATT,AVG_RUSH_TDS,AVG_RUSH_YDS,AVG_TGT,FAN PTS,POS_AVG.,POS_BEST,POS_RK,POS_STD.DEV,POS_TIERS,POS_WORST,PPR_AVG_FAN PTS,PPR_FAN PTS,PPR_POS_AVG.,PPR_POS_BEST,PPR_POS_RK,PPR_POS_STD.DEV,PPR_POS_TIERS,PPR_POS_WORST,REC,REC_TDS,REC_YDS,RUSH_ATT,RUSH_TDS,RUSH_YDS,TEAM,TGT,FULL_SOS,SEASON_SOS,PLAYOFF_SOS,BOOM,BUST,STARTER,PPR_BOOM,PPR_BUST,PPR_STARTER,DEPTH,STANDARD_ADP,PPR_ADP,20_YD_ATT,20_YD_%RUSH,10_YD_ATT,10_YD_%RUSH,5_YD_ATT,5_YD_%RUSH,20_YD_TGT,20_YD_%TGT,10_YD_TGT,10_YD_%TGT
BROCK WRIGHT,1.1,0.9,0.1,6.5,0.0,0.0,0.0,1.0,15.1,65.6,46.0,67.0,10.7,7.0,87.0,2.0,28.1,64.3,46,67,12.4,7,90,13.0,1.0,91.0,0.0,0.0,0.0,DET,14.0,9,11,14,0,91,9,0,91,0,2,500.0,500,0,0.0,0,0.0,0,0.0,1,1.5,1,2.9
BRYCEN HOPKINS,0.5,0.3,0.0,5.2,0.0,0.0,0.0,0.5,7.8,102.0,100.0,120.0,2.0,9.0,104.0,0.9,12.8,104.5,104,119,0.5,9,105,5.0,0.0,78.0,0.0,0.0,0.0,FA,7.0,33,33,33,0,100,0,0,100,0,0,500.0,500,0,0.0,0,0.0,0,0.0,1,1.4,0,0.0
BRYSON SUMLIN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.3,82.0,96.0,9.8,9.0,106.0,0.0,0.0,91.7,84,97,5.8,9,98,0.0,0.0,0.0,0.0,0.0,0.0,FA,0.0,33,33,33,0,0,0,0,0,0,0,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
CADE OTTON,4.1,2.8,0.2,26.8,0.0,0.0,0.0,3.9,69.5,22.3,17.0,20.0,2.6,4.0,29.0,6.9,116.5,21.2,15,19,2.8,4,28,47.0,4.0,455.0,0.0,0.0,0.0,TB,67.0,18,17,17,6,56,19,6,50,6,1,180.0,500,0,0.0,0,0.0,0,0.0,10,16.9,3,10.3
CADE STOVER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.1,42.0,51.0,5.6,6.0,65.0,0.0,0.0,50.3,38,51,6.5,6,65,0.0,0.0,0.0,0.0,0.0,0.0,HOU,0.0,7,1,32,0,0,0,0,0,0,2,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
CAMERON LATU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,82.0,113.0,23.0,9.0,137.0,0.0,0.0,106.0,82,96,23.9,9,136,0.0,0.0,0.0,0.0,0.0,0.0,SF,0.0,12,7,22,0,0,0,0,0,0,0,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
CHARLIE KOLAR,1.1,0.5,0.1,6.2,0.0,0.0,0.0,0.6,14.7,92.0,73.0,88.0,13.4,8.0,109.0,1.6,21.7,84.8,73,84,10.6,8,97,7.0,1.0,87.0,0.0,0.0,0.0,BAL,9.0,6,12,10,0,92,8,0,92,0,3,500.0,500,0,0.0,0,0.0,0,0.0,2,3.1,0,0.0
CHARLIE WOERNER,0.2,0.2,0.0,1.9,0.0,0.0,0.0,0.2,3.2,90.7,89.0,95.0,2.4,9.0,94.0,0.4,6.2,87.7,83,94,5.3,9,95,3.0,0.0,32.0,0.0,0.0,0.0,ATL,3.0,15,13,19,0,100,0,0,100,0,2,500.0,500,0,0.0,0,0.0,0,0.0,1,1.4,0,0.0
CHIGOZIEM OKONKWO,3.5,3.2,0.1,31.1,0.1,0.0,0.4,4.5,59.4,24.8,18.0,23.0,4.3,4.0,42.0,6.7,113.4,22.9,17,21,4.5,4,40,54.0,1.0,528.0,2.0,0.0,6.0,TEN,77.0,2,5,4,0,75,13,0,69,6,1,183.5,500,0,0.0,0,0.0,0,0.0,6,12.8,3,13.0
CHRIS MANHERTZ,0.1,0.1,0.0,1.0,0.0,0.0,0.0,0.3,1.6,116.7,96.0,117.0,15.0,9.0,131.0,0.2,3.6,110.0,94,109,12.7,9,125,2.0,0.0,16.0,0.0,0.0,0.0,NYG,4.0,25,31,3,0,100,0,0,100,0,0,500.0,500,0,0.0,0,0.0,0,0.0,1,1.5,0,0.0
