PLAYER NAME,AVG_BLK KICK,AVG_DEF TD,AVG_FAN PTS,AVG_FUMR,AVG_INT,AVG_PTS VS.,AVG_RET TD,AVG_SACK,AVG_SAFE,BLK KICK,DEF TD,FAN PTS,FUMR,INT,POS_AVG.,POS_BEST,POS_RK,POS_STD.DEV,POS_TIERS,POS_WORST,PTS VS.,RET TD,SACK,SAFE,TEAM,FULL_SOS,SEASON_SOS,PLAYOFF_SOS
Kansas City Chiefs,0.0,0.1,6.6,0.4,1.0,0.0,0.0,2.0,0.1,0,2,106,6,16,10.8,4.0,11.0,2.9,3.0,18.0,0,0,32,1,KC,22,19,24
Miami Dolphins,0.0,0.1,8.3,0.6,1.1,0.0,0.0,2.4,0.0,0,2,141,10,18,12.2,4.0,12.0,4.2,3.0,30.0,0,0,41,0,MIA,20,6,30
Cleveland Browns,0.0,0.1,6.1,0.6,0.7,0.0,0.0,2.4,0.1,0,2,97,10,11,13.4,4.0,13.0,3.8,3.0,25.0,0,0,38,2,CLE,26,22,18
Los Angeles Chargers,0.0,0.1,4.3,0.4,0.7,0.0,0.0,1.6,0.1,0,2,73,7,12,14.1,7.0,14.0,3.7,3.0,30.0,0,0,27,1,LAC,11,8,20
Denver Broncos,0.0,0.0,4.6,0.4,0.6,0.0,0.0,2.6,0.0,0,0,73,6,10,14.8,5.0,15.0,3.4,4.0,23.0,0,0,42,0,DEN,8,13,15
Chicago Bears,0.0,0.1,5.6,0.5,0.6,0.0,0.0,2.2,0.1,0,1,90,8,10,15.5,7.0,16.0,3.6,4.0,24.0,0,0,35,1,CHI,23,25,9
Green Bay Packers,0.0,0.1,5.9,0.4,0.7,0.0,0.0,2.6,0.1,0,2,94,7,11,17.6,12.0,17.0,2.3,4.0,23.0,0,0,41,1,GB,24,21,21
Seattle Seahawks,0.0,0.0,6.4,0.5,0.9,0.0,0.0,2.9,0.2,0,0,103,8,14,17.8,6.0,18.0,2.3,4.0,23.0,0,0,46,3,SEA,30,28,19
Minnesota Vikings,0.0,0.0,3.8,0.4,0.9,0.0,0.0,1.4,0.1,0,0,60,7,15,18.5,12.0,19.0,2.9,4.0,26.0,0,0,23,1,MIN,17,10,23
Philadelphia Eagles,0.0,0.1,6.3,0.7,0.5,0.0,0.0,3.1,0.1,0,2,101,11,8,20.1,2.0,20.0,3.1,4.0,25.0,0,0,49,1,PHI,5,1,28
Tennessee Titans,0.0,0.1,3.9,0.5,0.9,0.0,0.0,1.1,0.0,0,1,66,8,15,21.4,5.0,21.0,2.4,4.0,27.0,0,0,19,0,TEN,28,30,12
New York Giants,0.0,0.1,6.4,0.7,0.7,0.0,0.0,2.5,0.0,0,2,103,11,11,20.8,5.0,22.0,3.2,4.0,31.0,0,0,40,0,NYG,2,9,4
Arizona Cardinals,0.0,0.0,6.8,0.6,0.7,0.0,0.0,3.0,0.1,0,0,108,10,11,21.0,4.0,23.0,3.8,5.0,29.0,0,0,48,1,ARI,18,17,17
New York Jets,0.0,0.1,4.2,0.6,0.6,0.0,0.0,1.9,0.1,0,1,67,9,10,23.4,3.0,24.0,3.2,5.0,27.0,0,0,31,1,NYJ,16,16,13
Carolina Panthers,0.0,0.2,6.2,0.9,0.4,0.0,0.0,1.8,0.0,0,3,99,15,7,24.7,6.0,25.0,3.3,5.0,30.0,0,0,29,0,CAR,6,3,27
Dallas Cowboys,0.0,0.1,4.8,0.8,0.6,0.0,0.0,1.9,0.0,0,2,76,12,10,24.6,14.0,26.0,2.5,5.0,29.0,0,0,31,0,DAL,4,11,6
Jacksonville Jaguars,0.0,0.1,3.4,0.3,0.7,0.0,0.0,1.1,0.0,0,1,58,5,12,26.8,7.0,27.0,1.9,5.0,31.0,0,0,18,0,JAC,21,23,14
Atlanta Falcons,0.0,0.1,4.5,0.6,0.8,0.0,0.0,1.8,0.0,0,1,72,9,12,27.3,10.0,28.0,1.8,5.0,32.0,0,0,29,0,ATL,1,2,3
Las Vegas Raiders,0.0,0.0,2.7,0.3,0.6,0.0,0.0,1.3,0.0,0,0,43,5,10,29.2,8.0,29.0,2.5,5.0,32.0,0,0,21,0,LV,7,5,16
Houston Texans,0.0,0.1,2.6,0.4,0.2,0.0,0.0,2.1,0.0,0,1,41,6,3,29.9,1.0,30.0,2.5,5.0,32.0,0,0,34,0,HOU,25,31,5
Cincinnati Bengals,0.0,0.0,2.8,0.4,0.7,0.0,0.0,1.1,0.0,0,0,45,6,11,29.6,11.0,31.0,1.8,5.0,32.0,0,0,17,0,CIN,12,27,2
Detroit Lions,0.0,0.0,1.8,0.3,0.4,0.0,0.0,1.5,0.1,0,0,29,5,7,30.4,9.0,32.0,1.8,5.0,32.0,0,0,24,1,DET,10,18,11
