PLAYER NAME,TEAM,PPR_BEST,PPR_WORST,PPR_AVG.,PPR_STD.DEV
Donald Parham Jr.,LAC,127,356,297.5,36.4
Adrian Peterson,FA,156,369,318.4,34.4
Pat Freiermuth,PIT,95,388,299.1,50.2
Jordan Wilkins,IND,264,382,330.3,21.6
Byron Pringle,KC,151,390,293.6,58.3
Andy Dalton,CHI,120,396,337.6,36.3
C.J. Uzomah,CIN,136,378,289.8,46.7
John Ross,NYG,269,383,325,26.9
Jermar Jefferson,DET,190,386,319.4,41.7
Houston Texans,HOU,176,355,316.6,16.5
Elijah Mitchell,SF,186,380,294,63.9
Harrison Bryant,CLE,204,373,315.7,31.9
Cody Parkey,CLE,249,353,310.9,24.7
Lynn Bowden Jr.,MIA,208,390,311.7,44.9
David Njoku,CLE,209,394,324,34.6
Josh Palmer,LAC,171,391,317.2,57.5
Chris Thompson,FA,227,389,333.3,22.1
Larry Rountree III,LAC,143,383,298.2,59
Golden Tate,FA,171,395,289.7,55.5
Sam Sloman,PIT,115,342,314.9,20.4
Mike Boone,DEN,195,393,318.6,49.9
Tyler Eifert,FA,236,368,297.9,31.8
Drew Sample,CIN,222,374,322.1,39.7
Qadree Ollison,ATL,170,388,279.4,63.9
Steven Sims Jr.,WAS,262,375,309.8,29.1
Jalen Guyton,LAC,191,387,325.6,48.4
Peyton Barber,WAS,265,388,345.8,24
Chris Evans,CIN,184,393,305.8,69.3
Deonte Harris,NO,189,389,283.8,49.1
Dede Westbrook,MIN,213,385,318.6,30
Jake Funk,LAR,194,377,291.8,49.4
Albert Okwuegbunam,DEN,185,387,323.5,35.6
Randy Bullock,DET,116,353,318.7,19.8
Detroit Lions,DET,93,355,332.9,17
Bryce Love,FA,257,380,320.1,22.9
Larry Fitzgerald,FA,262,386,314.5,29.6
Danny Amendola,FA,269,369,319.9,26.6
Tyler Conklin,MIN,229,391,319.6,40.7
Cordarrelle Patterson,ATL,226,383,335.9,33.8
Royce Freeman,DEN,283,392,333.8,21
Tutu Atwell,LAR,222,396,342.7,38.2
Antonio Gandy-Golden,WAS,278,379,339.7,25.1
Las Vegas Raiders,LV,266,355,332.4,19.5
Adam Humphries,WAS,113,396,300.2,67.4
Nick Folk,NE,228,353,313.6,31.5
Jacob Hollister,BUF,180,376,325.3,37.3
Tyler Johnson,TB,263,385,339.7,34.3
Dez Fitzpatrick,TEN,210,383,312.7,48
Kylin Hill,GB,253,388,325.1,36.8
Cameron Brate,TB,291,386,344.9,18.5
Collin Johnson,JAC,260,389,337,36.7
Evan McPherson,CIN,220,344,313.4,28.9
Cincinnati Bengals,CIN,294,355,336.5,15.6
Alshon Jeffery,FA,265,373,331.4,26.6
Cornell Powell,KC,201,380,319.6,55.2
Brevin Jordan,HOU,260,378,340.2,31.9
Devin Duvernay,BAL,189,390,340.3,41.6
Tylan Wallace,BAL,231,394,343.4,39.1
Dare Ogunbowale,JAC,43,387,344.1,29.9
Khalil Herbert,CHI,237,386,335.5,29.7
Devine Ozigbo,JAC,306,382,345.3,16.7
Tucker McCann,TEN,221,353,318.9,21.1
Jalen Hurd,SF,215,384,324.6,49.1
Greg Joseph,MIN,252,353,320.1,24.1
Jordan Love,GB,238,387,344.2,30.1
Davis Mills,HOU,275,391,350.2,28.8
Gerrid Doaks,MIA,193,385,309.4,62.2
