PLAYER NAME,TEAM,PPR_POS_BEST,PPR_POS_WORST,PPR_POS_AVG.,PPR_POS_STD.DEV
Cameron Brate,TB,37,67,48,5.1
Tyler Conklin,MIN,29,60,43.5,8.6
Tyler Eifert,FA,28,69,41.5,9.4
Jacob Hollister,BUF,30,64,43.6,7.8
Brevin Jordan,HOU,32,75,47.9,8.9
Foster Moreau,LV,38,62,52.1,6.1
Hunter Long,MIA,38,89,54.4,11.8
Geoff Swaim,TEN,41,70,53.6,5.7
Maxx Williams,ARI,24,67,47.3,9.7
James O'Shaughnessy,JAC,33,66,49.4,9
Jace Sternberger,GB,47,80,59,8
Ryan Griffin,NYJ,39,72,56.7,7.4
Darren Fells,DET,41,86,58.1,11.1
Brycen Hopkins,LAR,37,84,54.6,9.7
Tommy Tremble,CAR,28,88,60.2,14.9
Kahale Warring,HOU,46,87,60.3,12.2
Jacob Harris,LAR,31,63,47.7,10.9
Kylen Granson,IND,26,63,56.8,4.1
Josh Oliver,BAL,47,133,67.4,22.3
Tyler Kroft,NYJ,23,82,55.3,13.2
Tim Tebow,JAC,15,85,54,14.6
Trey Burton,FA,42,62,54,5.7
Nick Boyle,BAL,38,66,57,6.2
Noah Gray,KC,32,97,60.7,21.2
Tre' McKitty,LAC,43,80,64.2,10.7
Nick Vannett,NO,39,70,60.9,5.5
Adam Shaheen,MIA,43,88,69.6,9.4
Richard Rodgers,PHI,38,109,64.9,19.8
Devin Asiasi,NE,52,103,76.8,15.1
Hunter Bryant,DET,44,80,58.4,13.2
Josiah Deguara,GB,51,94,69.8,16.4
Ross Dwelley,SF,50,67,61.4,4.2
Chris Manhertz,JAC,36,94,64,20.7
Darrell Daniels,ARI,52,87,68.6,11.3
Kenny Yeboah,NYJ,32,78,55.8,16.5
John Bates,WAS,62,76,69,4.6
Marcedes Lewis,GB,59,90,75,10.6
Blake Bell,KC,52,100,66.5,19.5
Colby Parkinson,SEA,64,93,78.6,10.6
Durham Smythe,MIA,54,74,68.5,8.4
Dalton Keene,NE,65,102,80.2,12.5
Pharaoh Brown,HOU,64,76,70.5,4.5
Johnny Mundt,LAR,55,89,72.5,14.7
Luke Farrell,JAC,59,101,75,16.1
Jared Pinkney,TEN,71,83,77.8,4.3
Ryan Izzo,HOU,72,89,80.3,6.1
Jeremy Sprinkle,DAL,69,97,85.3,11.1
Nick Keizer,KC,61,118,86,20.5
Thaddeus Moss,CIN,62,117,82.3,24.6
Troy Fumagalli,NE,63,69,66,3
Tyler Davis,JAC,76,103,88,11.2
Tommy Sweeney,BUF,73,143,103.5,25.6
Kaden Smith,NYG,63,105,90.7,19.6
Garrett Griffin,NO,76,123,92.3,21.7
Charlie Woerner,SF,43,116,79.5,36.5
Jaeden Graham,ATL,88,106,95.3,7.7
Caleb Wilson,PHI,90,100,95.3,4.1
Derek Carrier,LV,68,99,83.5,15.5
Zach Davidson,MIN,79,125,98,19.6
Jordan Thomas,IND,78,93,85.5,7.5
Ricky Seals-Jones,WAS,83,95,89,6
Ethan Wolf,NO,85,126,101.3,17.8
Jason Croom,PHI,87,139,105.7,23.6
Ross Travis,ARI,77,102,89.5,12.5
Stephen Anderson,LAC,92,121,102.7,13
Brandon Dillon,MIN,97,112,102.7,6.7
Hunter Thedford,DET,98,114,103.3,7.5
Stephen Sullivan,CAR,91,101,96,5
Zach Gentry,PIT,87,109,98,11
Lee Smith,ATL,92,108,100,8
J.P. Holtz,CHI,98,107,102.5,4.5
Austin Fort,DEN,96,110,103,7
Daniel Brown,NYJ,96,115,105.5,9.5
Stephen Carlson,CLE,93,119,106,13
Mason Schreck,CIN,105,119,112,7
Tyler Mabry,SEA,108,117,112.5,4.5
Tanner Hudson,TB,112,129,120.5,8.5
Temarrick Hemingway,WAS,118,135,126.5,8.5
