POS_RK,POS_TIERS,PLAYER NAME,TEAM,AVG_FAN PTS
116,9,BRAYDEN WILLIS,SF,0.0
117,9,STEPHEN SULLIVAN,CAR,1.1
118,9,HUNTER LONG,LAR,0.0
119,9,MICHAEL JACOBSON,NO,0
120,9,KENNY YEBOAH,NYJ,0.6
121,9,TYLER KROFT,FA,0.0
122,9,CHRIS MANHERTZ,NYG,0.1
123,10,MARCEDES LEWIS,CHI,0.5
124,10,BEN SIMS,GB,0.5
125,10,TIM BOYLE,FA,0
126,10,GIOVANNI RICCI,CLE,0.0
127,10,TYLER MABRY,SEA,0
128,10,STEPHEN CARLSON,CHI,0
129,10,BLAKE BELL,FA,0.4
130,10,TREVON WESCO,FA,0.1
131,10,KEVIN RADER,TEN,0.0
132,10,TYREE JACKSON,NYG,0.0
133,10,JESPER HORSTED,NO,0.1
134,10,GRANT CALCATERRA,PHI,0.3
135,10,MITCHELL WILCOX,NE,0.3
136,10,NICK VANNETT,TEN,0.0
137,10,DAVID WELLS,TB,-0.2
138,10,NATE ADKINS,DEN,0.2
139,10,CURTIS HODGES,FA,0
140,10,ERIC SAUBERT,SF,0.1
141,10,TOMMY HUDSON,NO,0
142,10,RODNEY WILLIAMS,PIT,0.0
143,10,COLE FOTHERINGHAM,LV,0.3
144,10,SEAN MCKEON,DET,0.0
145,10,SHANE ZYLSTRA,DET,0
146,10,TOMMY SWEENEY,CHI,0
147,10,ANTHONY FIRKSER,DET,0.0
148,10,ZACH GENTRY,LV,0.0
149,10,ANDREW BECK,HOU,1.9
