PPR_RK,PPR_TIERS,PLAYER NAME,TEAM,PPR_BEST,PPR_WORST,PPR_AVG.,PPR_STD.DEV
32,4,KYREN WILLIAMS,LAR,11,55,33.7,12.9
33,5,DK METCALF,SEA,21,53,34.8,6.7
34,5,DEEBO SAMUEL,SF,23,61,35.0,8.1
35,5,COOPER KUPP,LAR,15,62,35.5,8.5
36,5,DEVONTA SMITH,PHI,23,53,36.0,5.9
37,5,RACHAAD WHITE,TB,17,64,37.1,8.5
38,5,ISIAH PACHECO,KC,16,66,38.0,10.4
39,5,DEVON ACHANE,MIA,13,76,38.6,12.9
40,5,STEFON DIGGS,HOU,14,81,39.9,14.2
41,5,DERRICK HENRY,BAL,13,76,40.5,14.0
42,5,AMARI COOPER,CLE,24,87,42.2,9.0
43,5,JOSH JACOBS,GB,17,69,45.3,11.1
44,5,ALVIN KAMARA,NO,16,76,46.3,16.4
45,6,JAMES COOK,BUF,17,74,48.6,11.3
46,6,MALIK NABERS,NYG,23,257,48.9,29.6
47,6,CJ STROUD,HOU,34,70,49.3,6.5
48,6,JOE MIXON,HOU,16,69,50.0,9.1
49,6,ZAY FLOWERS,BAL,24,81,50.3,11.1
50,6,ANTHONY RICHARDSON,IND,29,112,50.7,10.8
51,6,TEE HIGGINS,CIN,31,79,51.1,9.3
52,6,KEENAN ALLEN,CHI,23,78,52.0,11.4
53,6,CHRISTIAN KIRK,JAC,31,108,52.1,13.1
54,6,TREY MCBRIDE,ARI,25,100,53.4,14.6
55,6,TERRY MCLAURIN,WAS,35,75,55.9,9.5
56,6,KENNETH WALKER,SEA,42,71,56.4,6.4
57,6,GEORGE PICKENS,PIT,32,89,56.9,13.8
58,6,JOE BURROW,CIN,46,78,57.7,6.1
59,6,MARK ANDREWS,BAL,25,96,57.8,19.2
60,6,DAK PRESCOTT,DAL,29,84,58.7,11.7
61,6,NATHANIEL DELL,HOU,35,106,60.2,15.9
62,6,AARON JONES,MIN,33,76,61.1,9.4
63,6,KYLER MURRAY,ARI,34,92,61.3,10.7
64,6,CHRIS GODWIN,TB,37,109,65.7,12.3
65,6,RHAMONDRE STEVENSON,NE,38,98,66.0,9.8
66,7,JORDAN LOVE,GB,46,91,68.1,10.2
67,7,DALTON KINCAID,BUF,27,110,68.5,15.9
68,7,CALVIN RIDLEY,TEN,31,108,69.2,16.8
69,7,JAMES CONNER,ARI,42,102,71.9,11.7
70,7,EVAN ENGRAM,JAC,57,100,73.3,9.8
71,7,DAVID MONTGOMERY,DET,53,102,73.3,9.6
72,7,DIONTAE JOHNSON,CAR,41,119,75.2,17.0
73,7,DANDRE SWIFT,CHI,49,101,75.3,10.1
74,7,JAYDEN REED,GB,43,109,76.4,13.2
75,7,BROCK PURDY,SF,54,104,76.6,9.8
76,7,ZAMIR WHITE,LV,45,117,76.7,13.7
77,7,DEANDRE HOPKINS,TEN,37,108,78.2,14.3
78,7,RASHEE RICE,KC,30,139,78.7,23.2
79,7,NAJEE HARRIS,PIT,52,113,80.6,13.1
80,7,JAYLEN WARREN,PIT,62,131,81.0,14.6
81,7,MARQUISE BROWN,KC,43,127,83.0,18.6
82,7,JAVONTE WILLIAMS,DEN,66,129,87.0,14.8
83,7,TONY POLLARD,TEN,66,121,87.2,15.3
84,7,JORDAN ADDISON,MIN,61,125,87.4,14.9
85,7,TUA TAGOVAILOA,MIA,58,125,88.3,12.8
86,7,JAXON SMITH-NJIGBA,SEA,50,122,89.3,14.6
87,7,KYLE PITTS,ATL,73,130,90.5,10.1
