PPR_POS_RK,PPR_POS_TIERS,PLAYER NAME,TEAM,PPR_FAN PTS,TGT,REC,REC_YDS,REC_TDS,RUSH_ATT,RUSH_YDS,RUSH_TDS
118,9,MALIK WASHINGTON,MIA,0,0,0,0,0,0,0,0
119,9,KALIF RAYMOND,DET,97.4,44,35,489,1,7,75,0
120,9,NELSON AGHOLOR,BAL,97.1,45,35,381,4,0,0,0
121,9,SKYY MOORE,KC,53.7,38,21,244,1,3,23,0
122,9,VAN JEFFERSON,PIT,41.3,43,20,209,0,1,4,0
123,9,TRE TUCKER,LV,71.8,34,19,331,2,10,77,0
124,9,HUNTER RENFROW,FA,48.5,37,25,255,0,0,0,0
125,9,CALVIN AUSTIN,PIT,52.7,30,17,180,1,11,57,1
126,10,JOHN METCHIE,HOU,32.2,30,16,158,0,1,4,0
127,10,JAUAN JENNINGS,SF,51.5,33,19,265,1,0,0,0
128,10,BO MELTON,GB,45.9,24,16,218,1,3,21,0
129,10,CEDRICK WILSON,NO,69.6,38,22,296,3,0,0,0
130,10,JUSTIN WATSON,KC,89,53,27,460,3,0,0,0
131,10,TIM PATRICK,DEN,0,0,0,0,0,0,0,0
132,10,JOHNNY WILSON,PHI,0,0,0,0,0,0,0,0
133,10,PARRIS CAMPBELL,PHI,30.4,27,20,104,0,0,0,0
134,10,PARKER WASHINGTON,JAC,39.2,21,16,132,2,0,0,0
135,10,BRANDON POWELL,MIN,67.1,44,29,324,1,5,17,0
136,10,TRENTON IRWIN,CIN,62.6,32,25,316,1,0,0,0
137,10,XAVIER GIPSON,NYJ,58.7,38,21,229,0,8,68,1
138,10,AINIAS SMITH,PHI,0,0,0,0,0,0,0,0
139,10,NICK WESTBROOK,TEN,85,45,28,370,3,0,0,0
140,10,XAVIER HUTCHINSON,HOU,21.9,19,8,90,0,5,49,0
141,10,KAVONTAE TURPIN,DAL,59.7,18,12,127,3,11,110,1
142,10,JAMARI THRASH,CLE,0,0,0,0,0,0,0,0
143,10,QUEZ WATKINS,PIT,35.2,21,15,142,1,0,0,0
144,10,MACK HOLLINS,BUF,43.1,30,18,251,0,0,0,0
145,10,CHRIS MOORE,ARI,68.3,35,22,424,0,2,39,0
146,10,ISAIAH HODGINS,NYG,60,33,21,230,3,0,0,0
147,10,TERRACE MARSHALL,CAR,32.9,33,19,139,0,0,0,0
148,10,JAMISON CROWDER,WAS,35.9,20,16,159,1,0,0,0
149,10,BRAXTON BERRIOS,MIA,57.9,33,27,238,1,1,11,0
150,10,CHARLIE JONES,CIN,20.7,9,7,64,0,2,13,0
151,10,CHASE CLAYPOOL,BUF,21.7,21,8,77,1,0,0,0
152,10,TYQUAN THORNTON,NE,27.2,23,13,91,0,3,51,0
153,10,DAVID BELL,CLE,48.7,23,14,167,3,0,0,0
154,10,JAKE BOBO,SEA,56.9,25,19,196,2,1,3,1
155,10,ISAIAH MCKENZIE,NYG,16.6,14,11,82,0,3,14,0
