POS_RK,POS_TIERS,PLAYER NAME,TEAM,AVG_FAN PTS
108,10,TRAYVEON WILLIAMS,CIN,0.5
109,10,JAWHAR JORDAN,HOU,0
110,10,KEVIN HARRIS,NE,4.6
111,10,AMEER ABDULLAH,LV,1.3
112,10,KENNY MCINTOSH,SEA,0
113,10,FRANK GORE,BUF,0
114,10,JASE MCCLELLAN,ATL,0
115,10,SEAN TUCKER,TB,0.6
116,10,NYHEIM HINES,CLE,0
117,10,MALIK DAVIS,DAL,0.0
118,10,KYLE JUSZCZYK,SF,1.4
119,10,BLAKE WATSON,DEN,0
120,10,KENE NWANGWU,MIN,0.2
121,10,MICHAEL WILEY,WAS,0
122,10,GARY BRIGHTWELL,FA,1.6
123,10,TYLER GOODSON,IND,2.0
124,10,KEILAN ROBINSON,JAC,0
125,10,CHRIS EVANS,CIN,0.2
126,10,ZACH EVANS,LAR,0.5
127,10,KENDALL MILTON,PHI,0
128,11,DEEJAY DALLAS,ARI,0.1
129,11,DAIJUN EDWARDS,PIT,0
130,11,EMANI BAILEY,KC,0
131,11,CODY SCHRADER,SF,0
132,11,DILLON JOHNSON,TEN,0
133,11,RAHEEM BLACKSHEAR,CAR,1.0
134,11,CHRISTOPHER BROOKS,MIA,2.6
135,11,LEONARD FOURNETTE,FA,2.0
136,11,DAIJUN EDWARDS,FA,0
137,11,BOSTON SCOTT,LAR,1.0
138,11,JULIUS CHESTNUT,TEN,0.0
139,11,AVERY WILLIAMS,ATL,0
140,11,LAMICAL PERINE,PIT,2.2
141,11,KESHAWN VAUGHN,FA,0.9
142,11,MYLES GASKIN,MIN,0
143,11,EMANUEL WILSON,GB,1.5
144,11,HUNTER LUEPKE,DAL,0.6
145,11,ZONOVAN KNIGHT,DET,1.1
146,11,DEON JACKSON,FA,-0.5
147,11,NOLAN HENDERSON,FA,0
148,11,JAMYCAL HASTY,NE,0.0
149,11,DENERIC PRINCE,KC,0
150,11,HASSAN HASKINS,TEN,0
151,11,DARRYNTON EVANS,BUF,3.8
152,11,JAMES ROBINSON,NO,0.0
153,11,DARE OGUNBOWALE,FA,0.8
154,11,MELVIN GORDON,FA,4.2
155,11,MIKE BOONE,CAR,0.7
156,11,ALEC INGOLD,MIA,0.7
157,11,PATRICK TAYLOR,SF,1.7
158,11,BRANDON BOLDEN,FA,2.2
159,11,PATRICK RICARD,BAL,0.7
160,11,REGGIE GILLIAM,BUF,0.0
161,11,TONY JONES,ARI,3.6
162,11,TYRION DAVIS-PRICE,PHI,2.1
163,11,DARRELL HENDERSON,FA,8.4
164,11,CJ HAM,MIN,0.2
165,11,JERMAR JEFFERSON,DET,0
166,12,MICHAEL BURTON,DEN,0.2
167,12,LEW NICHOLS,PHI,0
168,12,CARSON STEELE,KC,0
169,12,JORDAN MIMS,NO,0.0
170,12,DEWAYNE MCBRIDE,MIN,0
171,12,CAMERON SCARLETT,FA,0
172,12,DERRICK GORE,WAS,0.5
173,12,NICK BAWDEN,NYJ,0.5
174,12,JONATHAN WARD,PIT,0.2
175,12,GEORGE HOLANI,SEA,0
176,12,RYAN WILLIAMS,FA,0
177,12,JASHAUN CORBIN,NYG,0.4
178,12,KEITH SMITH,FA,0.3
179,12,KENNY HILLIARD,FA,0
180,12,ANTHONY MCFARLAND,FA,0.4
181,12,KHARI BLASINGAME,CHI,0.2
182,12,JEREMY MCNICHOLS,WAS,0.0
183,12,KENYAN DRAKE,FA,0.4
184,12,ELIJAH DOTSON,LAC,0.5
185,12,PATRICK LAVOIE,FA,0.0
186,12,JAKE FUNK,DET,2.2
187,12,JONATHAN WILLIAMS,WAS,-0.2
188,12,ADAM PRENTICE,NO,0.0
