PPR_RK,PPR_TIERS,PLAYER NAME,TEAM,PPR_AVG_FAN PTS,AVG_PASS_YDS,AVG_PASS_TDS,AVG_REC,AVG_REC_YDS,AVG_REC_TDS,AVG_RUSH_ATT,AVG_RUSH_YDS,AVG_RUSH_TDS
462,16,DAIJUN EDWARDS,FA,0,0,0,0,0,0,0,0,0
463,16,ZACH WILSON,DEN,10.6,189.3,0.7,0.0,0.0,0.0,3.0,17.6,0.0
464,16,DEVIN DUVERNAY,JAC,0.6,0.0,0.0,0.3,1.4,0.0,0.3,1.2,0.0
465,16,DEEJAY DALLAS,ARI,0.5,0.0,0.0,0.4,1.5,0.0,0.6,2.1,0.0
466,16,DILLON JOHNSON,FA,0,0,0,0,0,0,0,0,0
467,16,RILEY PATTERSON,JAC,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
468,16,ROBERT TONYAN,MIN,1.3,0.0,0.0,0.6,6.6,0.0,0.0,0.0,0.0
469,16,KEVIN HARRIS,NE,5.3,0.0,0.0,0.8,14.5,0.0,4.0,16.3,0.3
470,16,PATRICK TAYLOR,SF,2.7,0.0,0.0,1.0,4.5,0.0,2.9,12.8,0.0
471,16,MIKE WHITE,MIA,0.5,12.3,0.2,0.0,0.0,0.0,1.3,-1.5,0.0
472,16,KENE NWANGWU,MIN,0.2,0.0,0.0,0.0,0.0,0.0,0.6,1.6,0.0
473,16,JARET PATTERSON,LAC,0,0,0,0,0,0,0,0,0
474,16,TYROD TAYLOR,NYJ,8.2,121.9,0.5,0.0,0.0,0.0,3.5,17.9,0.0
475,16,OLAMIDE ZACCHEAUS,WAS,2.3,0.0,0.0,0.6,9.6,0.1,0.0,0.0,0.0
476,16,MICHAEL WILEY,WAS,0,0,0,0,0,0,0,0,0
477,16,NICK FOLK,TEN,7.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
478,16,TIP REIMAN,ARI,0,0,0,0,0,0,0,0,0
479,16,DYAMI BROWN,WAS,2.1,0.0,0.0,0.7,9.9,0.1,0.1,0.0,0.0
480,16,JAMISON CROWDER,WAS,2.1,0.0,0.0,0.9,9.4,0.1,0.0,0.0,0.0
481,16,SCOTT MILLER,PIT,2.3,0.0,0.0,0.6,9.5,0.1,0.0,0.0,0.0
482,16,CHRISTOPHER BROOKS,MIA,2.6,0.0,0.0,0.0,0.0,0.0,4.8,26.5,0.0
483,16,TANNER MCLACHLAN,CIN,0,0,0,0,0,0,0,0,0
484,16,TREY LANCE,DAL,0,0,0,0,0,0,0,0,0
485,16,JORDAN AKINS,CLE,1.7,0.0,0.0,0.9,7.8,0.0,0.0,0.0,0.0
486,16,CARSON WENTZ,KC,13.6,81.5,1.0,0.0,0.0,0.0,8.5,28.0,0.5
487,16,KENDALL MILTON,PHI,0,0,0,0,0,0,0,0,0
488,16,WILL MALLORY,IND,3.2,0.0,0.0,1.5,17.3,0.0,0.0,0.0,0.0
489,16,EMANUEL WILSON,GB,2.1,0.0,0.0,0.6,3.3,0.0,2.0,12.1,0.0
490,16,AVERY WILLIAMS,ATL,0,0,0,0,0,0,0,0,0
491,16,KEILAN ROBINSON,JAC,0,0,0,0,0,0,0,0,0
492,16,RAHEEM BLACKSHEAR,CAR,1.6,0.0,0.0,0.5,4.1,0.0,1.3,4.2,0.0
493,16,CONNOR HEYWARD,PIT,2.3,0.0,0.0,1.4,9.8,0.0,0.1,0.0,0.0
494,16,HARRISON BRYANT,LV,2.2,0.0,0.0,0.8,4.8,0.2,0.3,0.5,0.0
495,16,DALLIN HOLKER,NO,0,0,0,0,0,0,0,0,0
496,16,ANTHONY GOULD,IND,0,0,0,0,0,0,0,0,0
497,16,MO ALIE-COX,IND,2.9,0.0,0.0,0.8,9.5,0.2,0.0,0.0,0.0
498,16,IRV SMITH,KC,2.8,0.0,0.0,1.5,9.6,0.1,0.0,0.0,0.0
499,16,DREW SAMPLE,CIN,3.0,0.0,0.0,1.3,9.6,0.1,0.0,0.0,0.0
500,16,BRENTON STRANGE,JAC,1.0,0.0,0.0,0.4,2.5,0.1,0.0,0.0,0.0
501,16,DAIJUN EDWARDS,PIT,0,0,0,0,0,0,0,0,0
