PLAYER NAME,20_YD_ATT,20_YD_%RUSH,10_YD_ATT,10_YD_%RUSH,5_YD_ATT,5_YD_%RUSH
CALVIN AUSTIN,1,1.4,1,2.6,0,.0
NICK BAWDEN,1,2.7,1,6.7,1,50.0
JAKE BOBO,1,1.4,1,2.7,1,5.9
MIKE BOONE,1,1.3,0,.0,0,.0
TIM BOYLE,1,2.7,0,.0,0,.0
JACOBY BRISSETT,1,1.8,1,3.8,1,6.7
NOAH BROWN,1,1.3,0,.0,0,.0
TREYLON BURKS,1,1.9,0,.0,0,.0
DEANDRE CARTER,1,1.6,0,.0,0,.0
JASHAUN CORBIN,1,1.6,1,4.5,0,.0
SAM DARNOLD,1,1.0,1,1.8,1,3.1
DERIUS DAVIS,1,1.4,0,.0,0,.0
STEFON DIGGS,1,.9,1,1.6,0,.0
JK DOBBINS,1,.9,1,1.6,1,3.3
ELIJAH DOTSON,1,1.4,0,.0,0,.0
DEVIN DUVERNAY,1,.9,0,.0,0,.0
CHRIS GODWIN,1,1.6,0,.0,0,.0
DALLAS GOEDERT,1,1.0,0,.0,0,.0
DERRICK GORE,1,1.8,1,3.8,0,.0
NOAH GRAY,1,1.4,1,2.6,0,.0
JAREN HALL,1,2.0,1,3.6,1,6.3
DEONTE HARTY,1,.9,1,1.6,0,.0
TAYLOR HEINICKE,1,1.3,0,.0,0,.0
PEYTON HENDERSHOT,1,1.0,1,2.0,1,4.2
TYREEK HILL,1,1.1,0,.0,0,.0
KHADAREL HODGE,1,1.3,1,2.8,0,.0
JUSTIN JEFFERSON,1,2.0,1,3.6,0,.0
CASE KEENUM,1,1.3,1,2.3,1,4.3
COLE KMET,1,1.3,1,2.6,0,.0
COOPER KUPP,1,1.2,0,.0,0,.0
JOHN METCHIE,1,1.3,0,.0,0,.0
DAVIS MILLS,1,1.3,1,2.3,0,.0
MARVIN MIMS,1,1.3,0,.0,0,.0
DARNELL MOONEY,1,1.3,0,.0,0,.0
DJ MOORE,1,1.3,0,.0,0,.0
ELIJAH MOORE,1,1.5,0,.0,0,.0
RONDALE MOORE,1,1.7,0,.0,0,.0
KALIF RAYMOND,1,.9,0,.0,0,.0
CALVIN RIDLEY,1,1.5,0,.0,0,.0
WANDALE ROBINSON,1,1.6,0,.0,0,.0
TREY SERMON,1,1.1,0,.0,0,.0
KHALIL SHAKIR,1,.9,0,.0,0,.0
STERLING SHEPARD,1,1.6,1,4.5,0,.0
IHMIR SMITH-MARSETTE,1,1.8,0,.0,0,.0
JONNU SMITH,1,1.3,1,2.8,1,9.1
JARRETT STIDHAM,1,1.3,1,2.8,1,6.3
AMON-RA ST BROWN,1,.9,0,.0,0,.0
ADAM THIELEN,1,1.8,0,.0,0,.0
TRE TUCKER,1,1.6,0,.0,0,.0
CLAYTON TUNE,1,1.7,1,3.0,1,5.6
KESHAWN VAUGHN,1,1.6,1,4.0,1,8.3
JAMESON WILLIAMS,1,.9,0,.0,0,.0
TRAYVEON WILLIAMS,1,1.4,1,2.1,0,.0
EMANUEL WILSON,1,1.1,0,.0,0,.0
BAILEY ZAPPE,1,2.4,0,.0,0,.0
