PPR_POS_RK,PPR_POS_TIERS,PLAYER NAME,TEAM,PPR_POS_BEST,PPR_POS_WORST,PPR_POS_AVG.,PPR_POS_STD.DEV
196,11,MALIK HEATH,GB,148,227,190.9,26.8
197,11,SIMI FEHOKO,LAC,195,224,209.4,8.7
198,11,DJ MONTGOMERY,IND,173,261,213.8,32.8
199,12,TREQUAN SMITH,DET,166,219,192.1,20.0
200,12,BRITAIN COVEY,PHI,178,237,215.1,18.4
201,12,TYRELL SHAVERS,BUF,159,218,192.9,17.8
202,12,DJ TURNER,LV,138,229,176.2,32.8
203,12,BYRON PRINGLE,WAS,182,262,206.3,24.3
204,12,TIM JONES,JAC,170,249,216.2,21.9
205,12,KJ HAMLER,FA,169,220,207.6,15.5
206,12,ISAIAH WILLIAMS,FA,155,232,183.5,24.0
207,12,EMEKA EMEZIE,FA,121,185,162.8,23.1
208,12,TYLER JOHNSON,LAR,158,287,202.1,38.1
209,12,DENZEL MIMS,FA,107,210,167.0,33.5
210,12,TYLAN WALLACE,BAL,180,246,203.4,26.6
211,12,DEANDRE CARTER,CHI,166,227,204.9,18.6
212,12,BEN SKOWRONEK,FA,175,253,218.3,24.6
213,12,CHRIS CONLEY,SF,150,260,201.5,42.6
214,12,JAMAL AGNEW,FA,152,209,183.2,19.7
215,12,TRISHTON JACKSON,MIN,165,242,214.9,28.4
216,12,DANTE PETTIS,CHI,127,233,185.0,34.7
217,12,JOSEPH PARKER,FA,120,183,159.3,24.6
218,12,DELEON ESKRIDGE,SEA,184,234,218.7,15.7
219,12,MARCUS ROSEMY-JACKSAINT,WAS,169,202,191.0,11.9
220,12,ASHTON DULIN,IND,91,290,191.2,63.6
221,12,ERIK EZUKANMA,MIA,165,279,221.3,39.2
222,12,DEVEN THOMPKINS,FA,179,238,210.7,23.4
223,12,JR RUSSELL,FA,164,213,195.6,19.7
224,12,JOHN ROSS,PHI,174,217,196.4,15.8
225,12,ELIJAH COOKS,FA,190,278,214.7,29.9
226,12,KRISTIAN WILKERSON,LV,154,300,201.8,55.6
227,12,MILES BOYKIN,NYG,185,239,217.5,16.3
228,12,GRANT DUBOSE,GB,186,213,202.6,8.9
229,12,NKEAL HARRY,MIN,156,244,204.8,28.7
230,12,LYNN BOWDEN,FA,183,229,207.0,17.8
231,12,JULIO JONES,FA,112,281,207.4,63.5
232,12,MARQUEZ CALLAWAY,FA,170,231,208.4,22.4
233,12,ISAIAH WILLIAMS,DET,153,278,209.2,51.1
234,12,JOSH CROCKETT,FA,102,181,153.0,36.1
235,12,MASON TIPTON,NO,123,223,188.5,38.7
236,12,NIKKO REMIGIO,KC,149,268,209.6,39.8
237,12,ROBBIE CHOSEN,SF,168,282,224.2,44.2
238,12,LAWRENCE CAGER,NYG,132,229,189.5,35.5
239,12,MARVIN JONES,FA,114,275,210.8,71.6
240,12,JALEN COKER,CAR,112,180,157.0,31.8
241,12,DAREKE YOUNG,SEA,172,281,214.4,38.5
242,12,RICHIE JAMES,FA,175,271,214.4,31.3
243,12,ANTOINE GREEN,FA,204,230,214.8,8.8
244,12,XAVIER WEAVER,ARI,185,211,195.3,9.9
245,12,JALEN CROPPER,DAL,160,282,196.5,49.7
246,12,COLLIN JOHNSON,CHI,193,235,216.8,15.2
247,12,TEJHAUN PALMER,ARI,205,230,217.6,9.8
248,12,ALEX ERICKSON,FA,176,221,200.3,20.9
249,12,LAQUON TREADWELL,IND,187,249,219.2,22.8
250,12,JUSTIN SHORTER,BUF,199,235,219.4,12.9
251,13,MIKE STRACHAN,FA,218,282,238.5,20.8
252,13,TRENT TAYLOR,SF,230,258,239.7,9.0
253,13,KADEN DAVIS,DET,160,301,231.0,53.8
254,13,KEVIN AUSTIN,NO,180,293,213.8,46.2
255,13,JOSH ALI,FA,188,225,214.3,15.2
256,13,LANCE MCCUTCHEON,NYJ,221,239,230.6,6.0
