RK,TIERS,PLAYER NAME,TEAM,AVG_FAN PTS
201,11,JASON SANDERS,MIA,8.6
202,11,TROY FRANKLIN,DEN,0
203,11,MIAMI DOLPHINS,MIA,8.9
204,11,MARKEISE IRVING,TB,0
205,11,NOAH FANT,SEA,2.4
206,11,TUCKER KRAFT,GB,2.8
207,11,ELIJAH MOORE,CLE,4.3
208,11,ROMAN WILSON,PIT,0
209,11,BRAELON ALLEN,NYJ,0
210,11,ALEXANDER MATTISON,LV,6.5
211,11,DEMARCUS ROBINSON,LAR,4.7
212,11,KEATON MITCHELL,BAL,8.7
213,11,JAKE MOODY,SF,7.7
214,11,TYLER BASS,BUF,7.8
215,11,CHICAGO BEARS,CHI,7.1
216,11,KAIMI FAIRBAIRN,HOU,9.5
217,11,BEN SINNOTT,WAS,0
218,11,KIMANI VIDAL,LAC,0
219,11,JAKE ELLIOTT,PHI,9.2
220,11,DARIUS SLAYTON,NYG,5.9
221,11,AUDRIC ESTIME,DEN,0
222,11,YOUNGHOE KOO,ATL,8.1
223,11,JALIN HYATT,NYG,2.2
224,11,JJ MCCARTHY,MIN,0
225,11,EVAN MCPHERSON,CIN,8.2
226,11,AJ DILLON,GB,6.4
227,11,CLYDE EDWARDS-HELAIRE,KC,3.5
228,11,KENNY GAINWELL,PHI,4.2
229,11,JAVON BAKER,NE,0
230,12,MILES SANDERS,CAR,3.8
231,12,MIKE GESICKI,CIN,2.1
232,12,DRAKE MAYE,NE,0
233,12,MINNESOTA VIKINGS,MIN,7.3
234,12,BO NIX,DEN,0
235,12,MALACHI CORLEY,NYJ,0
236,12,JELANI WOODS,IND,0
237,12,TYLER BOYD,TEN,4.6
238,12,MICHAEL MAYER,LV,3.2
239,12,ODELL BECKHAM,MIA,5.2
240,12,CARTAVIOUS BIGSBY,JAC,1.4
241,12,KENDRICK BOURNE,NE,7.9
242,12,DUSTIN HOPKINS,CLE,9.9
243,12,CAMERON DICKER,LAC,8.9
244,12,MATT GAY,IND,9.2
245,12,ZAY JONES,ARI,4.9
246,12,AT PERRY,NO,4.9
247,12,DJ CHARK,LAC,5.4
248,12,RONDALE MOORE,ATL,3.8
249,12,JUSTICE HILL,BAL,5.1
250,12,JAMAAL WILLIAMS,NO,3.3
251,12,TREYLON BURKS,TEN,2.2
252,12,INDIANAPOLIS COLTS,IND,8.2
253,12,TYRONE TRACY,NYG,0
254,12,DAWSON KNOX,BUF,2.7
255,12,CAIRO SANTOS,CHI,9.3
256,12,JASON MYERS,SEA,9.3
257,12,JUSTIN FIELDS,PIT,18.4
258,12,DETROIT LIONS,DET,6.3
259,12,JONATHAN MINGO,CAR,2.8
260,12,DEVONTEZ WALKER,BAL,0
261,12,ALEC PIERCE,IND,3.7
262,12,JALEN MCMILLAN,TB,0
263,12,WILL SHIPLEY,PHI,0
264,12,GERALD EVERETT,CHI,4.0
265,12,JATAVION SANDERS,CAR,0
266,12,JOSH REYNOLDS,DEN,5.2
267,12,TREY PALMER,TB,3.3
268,12,GARDNER MINSHEW,LV,12.8
269,12,DENVER BRONCOS,DEN,6.9
270,12,CEDRIC TILLMAN,CLE,1.7
271,12,SAMAJE PERINE,DEN,4.2
272,12,JACKSONVILLE JAGUARS,JAC,7.1
273,12,KJ OSBORN,NE,4.5
274,12,DANIEL CARLSON,LV,7.1
275,12,CINCINNATI BENGALS,CIN,6.9
276,12,JONNU SMITH,MIA,4.4
277,12,SAM DARNOLD,MIN,2.4
278,12,ANDREI IOSIVAS,CIN,2.2
279,12,TYLER HIGBEE,LAR,4.1
280,13,EVAN HULL,IND,0.7
281,13,TREY SERMON,IND,1.4
282,13,BLAKE GRUPE,NO,8.8
