PPR_POS_RK,PPR_POS_TIERS,PLAYER NAME,TEAM,PPR_AVG_FAN PTS,AVG_TGT,AVG_REC,AVG_REC_YDS,AVG_REC_TDS,AVG_RUSH_ATT,AVG_RUSH_YDS,AVG_RUSH_TDS
185,12,JASON BROWNLEE,NYJ,2.4,1.1,0.7,8.0,0.1,0.0,0.0,0.0
186,12,RICHIE JAMES,FA,2.2,1.6,1.1,12.7,0.0,0.0,0.0,0.0
187,12,RONNIE BELL,SF,1.9,0.8,0.4,4.3,0.2,0.0,0.0,0.0
188,12,IHMIR SMITH-MARSETTE,CAR,1.9,0.6,0.5,3.0,0.0,0.5,4.4,0.1
189,12,JOSH CROCKETT,FA,0,0,0,0,0,0,0,0
190,12,RAKIM JARRETT,TB,1.0,0.9,0.4,6.0,0.0,0.1,0.0,0.0
191,12,SAMORI TOURE,GB,1.4,1.6,0.7,7.1,0.0,0.0,0.0,0.0
192,12,JALEN NAILOR,MIN,1.0,1.0,0.5,4.8,0.0,0.0,0.0,0.0
193,12,BRANDON JOHNSON,DEN,5.6,2.3,1.5,21.8,0.3,0.0,0.0,0.0
194,12,ZACH PASCAL,ARI,0.4,1.1,0.3,1.4,0.0,0.0,0.0,0.0
195,12,ANTOINE GREEN,DET,0.1,0.2,0.1,0.2,0.0,0.0,0.0,0.0
196,12,VELUS JONES,CHI,0.8,0.5,0.3,1.4,0.0,0.6,3.6,0.0
197,12,EQUANIMEOUS ST BROWN,NO,1.6,0.9,0.7,8.9,0.0,0.0,0.0,0.0
198,12,JOSEPH PARKER,FA,0,0,0,0,0,0,0,0
199,12,RIVER CRACRAFT,MIA,2.7,1.2,0.9,12.1,0.1,0.0,0.0,0.0
200,12,MARVIN JONES,FA,1.1,1.7,0.8,5.8,0.0,0.0,0.0,0.0
201,12,DEVAUGHN VELE,DEN,0,0,0,0,0,0,0,0
202,12,KHADAREL HODGE,ATL,2.2,1.4,0.8,13.6,0.0,0.1,0.0,0.0
203,12,ERIK EZUKANMA,MIA,1.1,0.5,0.0,0.0,0.0,2.5,11.0,0.0
204,12,ISAIAH WILLIAMS,FA,0,0,0,0,0,0,0,0
205,12,JAMAL AGNEW,FA,3.7,1.9,1.3,20.5,0.1,0.4,-0.2,0.0
206,12,DEVEN THOMPKINS,FA,2.1,1.5,1.0,4.9,0.1,0.5,3.3,0.0
207,13,JALEN REAGOR,NE,2.6,2.1,0.6,12.5,0.0,0.1,1.5,0.0
208,13,ALEX ERICKSON,FA,5.7,3.6,2.0,29.0,0.1,0.0,0.0,0.0
209,13,JULIO JONES,FA,3.3,1.7,1.0,6.7,0.3,0.0,0.0,0.0
210,13,BRITAIN COVEY,PHI,0.5,0.4,0.3,2.6,0.0,0.0,0.0,0.0
211,13,DAVID MOORE,CAR,2.9,1.0,0.7,13.4,0.1,0.0,0.0,0.0
212,13,DJ MONTGOMERY,IND,2.1,1.1,0.4,8.0,0.1,0.0,0.0,0.0
213,13,BYRON PRINGLE,FA,1.8,1.4,0.9,10.1,0.0,0.0,0.0,0.0
214,13,ELIJAH COOKS,JAC,0.8,0.4,0.3,4.2,0.0,0.0,0.0,0.0
215,13,ROBBIE CHOSEN,FA,2.5,0.7,0.4,14.0,0.1,0.0,0.0,0.0
216,13,MARQUISE GOODWIN,FA,1.2,1.1,0.3,5.6,0.0,0.3,2.8,0.0
217,13,RANDALL COBB,FA,1.5,1.5,0.5,3.5,0.1,0.0,0.0,0.0
