PPR_POS_RK,PPR_POS_TIERS,PLAYER NAME,TEAM,PPR_FAN PTS,RUSH_ATT,RUSH_YDS,RUSH_TDS,TGT,REC,REC_YDS,REC_TDS
142,10,HUNTER LUEPKE,DAL,12.7,6,19,1,4,3,18,0
143,10,GEORGE HOLANI,FA,0,0,0,0,0,0,0,0
144,10,HASSAN HASKINS,TEN,0,0,0,0,0,0,0,0
145,10,DILLON JOHNSON,FA,0,0,0,0,0,0,0,0
146,10,MICHAEL BURTON,DEN,6.7,7,9,0,3,3,8,0
147,10,MYLES GASKIN,FA,0,0,0,0,0,0,0,0
148,11,CARLOS WASHINGTON,ATL,0,0,0,0,0,0,0,0
149,11,LOUIS REES-ZAMMIT,KC,0,0,0,0,0,0,0,0
150,11,DANTE MILLER,NYG,0,0,0,0,0,0,0,0
151,11,CHRISTOPHER BROOKS,FA,10.6,19,106,0,0,0,0,0
152,11,ADAM PRENTICE,NO,2.4,2,12,0,3,2,12,0
153,11,LEONARD FOURNETTE,FA,4,12,40,0,0,0,0,0
154,11,JORDAN MIMS,NO,0,0,0,0,2,0,0,0
155,11,OWEN WRIGHT,BAL,0,0,0,0,0,0,0,0
156,11,REGGIE GILLIAM,BUF,1.3,0,0,0,1,1,3,0
157,11,DAIJUN EDWARDS,FA,0,0,0,0,0,0,0,0
158,11,PATRICK TAYLOR,SF,30,32,141,0,17,11,49,0
159,11,JONATHAN WARD,PIT,1.1,3,11,0,0,0,0,0
160,11,LAMICAL PERINE,PIT,14,22,77,0,5,3,33,0
161,11,KHARI BLASINGAME,CHI,5.8,8,26,0,6,3,2,0
162,11,ELIJAH DOTSON,LAC,3.9,4,6,0,2,2,13,0
163,11,MICHAEL WILEY,WAS,0,0,0,0,0,0,0,0
164,11,JAMES ROBINSON,FA,1,1,2,0,1,1,-2,0
165,11,EMANI BAILEY,KC,0,0,0,0,0,0,0,0
166,11,DARRELL HENDERSON,FA,43.5,46,112,2,14,10,103,0
167,11,DEVOZEA FELTON,IND,0,0,0,0,0,0,0,0
168,11,TYRION DAVIS-PRICE,PHI,2.1,6,21,0,0,0,0,0
169,11,TRAVIS HOMER,CHI,0,0,0,0,1,0,0,0
170,11,DEON JACKSON,NYJ,4,14,16,0,6,5,14,0
171,11,GARY BRIGHTWELL,FA,11.6,9,19,0,7,5,47,0
172,11,LEW NICHOLS,PHI,0,0,0,0,0,0,0,0
173,11,KESHAWN VAUGHN,FA,6.4,24,42,0,5,2,2,0
174,11,ZONOVAN KNIGHT,FA,3.1,3,13,0,1,1,8,0
175,11,DONOVAN PEOPLES-JONES,FA,0,0,0,0,0,0,0,0
176,11,TYLER BADIE,DEN,0,0,0,0,0,0,0,0
177,11,JABARI SMALL,TEN,0,0,0,0,0,0,0,0
178,11,SNOOP CONNER,DAL,0,0,0,0,0,0,0,0
179,11,JACK COLLETTO,PIT,0,0,0,0,0,0,0,0
180,11,MIKE BOONE,FA,13.3,5,23,0,9,7,40,0
181,11,NICK BAWDEN,FA,11.5,2,4,1,3,3,21,0
182,11,DEWAYNE MCBRIDE,FA,0,0,0,0,0,0,0,0
183,11,TONY JONES,ARI,32.2,26,95,2,10,7,37,0
184,11,MELVIN GORDON,FA,19.7,26,81,1,3,3,46,0
185,11,JERMAR JEFFERSON,DET,0,0,0,0,0,0,0,0
186,12,DAIJUN EDWARDS,FA,0,0,0,0,0,0,0,0
187,12,AARON SHAMPKLIN,PIT,0,0,0,0,0,0,0,0
188,12,KENNY HILLIARD,FA,0,0,0,0,0,0,0,0
189,12,NOLAN HENDERSON,FA,0,0,0,0,0,0,0,0
190,12,ANTHONY MCFARLAND,MIA,3.1,0,0,0,2,2,11,0
191,12,JAKE FUNK,DET,3.2,2,10,0,1,1,12,0
192,12,DERRICK GORE,FA,2.6,3,26,0,0,0,0,0
193,12,CAMERON SCARLETT,FA,0,0,0,0,0,0,0,0
194,12,AJ BROWN,ATL,0,0,0,0,0,0,0,0
195,12,JOHN KELLY,BAL,0,0,0,0,0,0,0,0
196,12,JASHAUN CORBIN,FA,4.3,1,1,0,3,3,12,0
197,12,XAZAVIAN VALLADAY,FA,0,0,0,0,0,0,0,0
198,12,ETHAN FERNEA,FA,0,0,0,0,0,0,0,0
199,12,KENYAN DRAKE,FA,3.1,2,0,0,3,2,31,0
200,12,ERIC LAIR,FA,0,0,0,0,0,0,0,0
201,12,BRANDON BOLDEN,FA,11.1,4,31,1,0,0,0,0
202,12,TY MONTGOMERY,FA,9.9,3,9,0,12,5,40,0
203,12,MARVIN BRACY-WILLIAMS,FA,0,0,0,0,0,0,0,0
204,12,JONATHAN WILLIAMS,FA,-0.2,1,-2,0,1,0,0,0
205,12,BRANDON JOHNSON,FA,0,0,0,0,0,0,0,0
206,12,DEVINE OZIGBO,FA,2.3,3,5,0,1,1,8,0
207,12,JAMES BUTLER,FA,0,0,0,0,0,0,0,0
208,12,JOCK SANDERS,FA,0,0,0,0,0,0,0,0
