PLAYER NAME,TEAM,BEST,WORST,AVG.,STD.DEV
EVAN HULL,IND,230,329,284.5,20.9
ISRAEL ABANIKANDA,NYJ,245,363,283.6,20.3
MICHAEL CARTER,ARI,246,331,285.9,21.5
JONNU SMITH,MIA,157,391,248.6,41.4
JORDAN MASON,SF,230,337,281.1,23.1
NOAH BROWN,HOU,233,324,283.6,17.9
ISAAC GUERENDO,SF,228,362,279.8,27.4
KADARIUS TONEY,KC,242,373,288.4,23.9
GREG DULCICH,DEN,181,321,255.5,32.6
TREY SERMON,IND,204,321,284.2,26.2
CHRISTOPHER RODRIGUEZ,WAS,242,342,296.8,20.6
DERNEST JOHNSON,JAC,257,322,291.9,14.4
KAREEM HUNT,FA,233,328,278.1,25.2
SAM DARNOLD,MIN,138,367,301.6,31.7
ZACH ERTZ,WAS,142,326,267.9,34.2
MICHAEL THOMAS,FA,201,365,285.7,35.5
PIERRE STRONG,CLE,236,325,286.3,20.4
LUKE MCCAFFREY,WAS,196,333,271.1,35.3
AIDAN OCONNELL,LV,138,334,299.4,34.8
BRENDEN RICE,LAC,232,379,284.1,32.4
JACOB COWING,SF,261,343,283.5,20.7
DYLAN LAUBE,LV,228,364,300.2,28.7
CHASE EDMONDS,TB,257,337,305.3,17.3
ROBERT WOODS,HOU,240,384,302.5,24.0
JERICK MCKINNON,FA,204,388,290.2,34.4
EMARI DEMERCADO,ARI,257,342,304.8,18.6
TYLER SCOTT,CHI,259,381,304.4,24.4
CORDARRELLE PATTERSON,PIT,228,380,306.3,27.6
LAS VEGAS RAIDERS,LV,182,355,260.7,44.3
RONNIE RIVERS,LAR,269,362,308.4,14.7
ERIC GRAY,NYG,250,357,306.6,21.0
GREG ZUERLEIN,NYJ,197,332,274.6,39.3
MICHAEL PENIX,ATL,187,385,303.4,35.3
NEW ENGLAND PATRIOTS,NE,184,334,240.8,39.4
CAM AKERS,MIN,237,365,309.6,23.7
ISAIAH SPILLER,LAC,273,364,310.1,19.0
DANIEL BELLINGER,NYG,243,333,290.2,26.5
RASHAAD PENNY,CAR,277,386,316.2,19.3
JALEN TOLBERT,DAL,198,378,277.0,42.9
DARREN WALLER,FA,145,344,255.2,46.0
DALVIN COOK,FA,167,357,298.1,31.2
JACOBY BRISSETT,NE,193,385,300.7,35.0
GREG DORTCH,ARI,220,366,283.6,33.9
COLBY PARKINSON,LAR,236,389,292.9,33.3
CHATARIUS ATWELL,LAR,252,346,294.5,21.1
JOSHUA KELLEY,FA,230,382,307.8,27.7
THEO JOHNSON,NYG,247,352,305.4,29.9
GREEN BAY PACKERS,GB,190,355,281.4,45.4
SALVON AHMED,MIA,284,393,326.1,21.6
HAYDEN HURST,LAC,232,376,304.5,35.2
DONALD PARHAM,LAC,267,376,300.5,21.1
MALIK WASHINGTON,MIA,208,377,293.5,41.1
MARQUEZ VALDES-SCANTLING,BUF,240,383,305.8,37.8
SAM HOWELL,SEA,188,397,317.0,32.5
JUJU SMITH-SCHUSTER,NE,255,357,303.5,27.1
LOGAN THOMAS,SF,246,376,302.4,42.3
ALLEN LAZARD,NYJ,243,375,305.5,33.4
RASHEEN ALI,BAL,250,392,308.5,37.2
MATT BREIDA,FA,298,368,321.7,14.4
TRE TUCKER,LV,268,347,304.5,24.1
NELSON AGHOLOR,BAL,247,395,309.6,33.2
KALIF RAYMOND,DET,200,360,297.8,42.4
JAUAN JENNINGS,SF,270,377,320.2,30.0
SKYY MOORE,KC,277,374,327.7,27.9
DREW LOCK,NYG,215,397,330.4,34.2
WIL LUTZ,DEN,205,281,258.0,20.8
KENNY PICKETT,PHI,254,397,319.1,44.2
TIM PATRICK,DEN,227,377,319.4,33.4
JOHN METCHIE,HOU,229,390,319.9,49.7
NOAH GRAY,KC,282,394,330.8,25.0
BO MELTON,GB,265,372,316.7,27.2
BRANDON MCMANUS,FA,216,332,273.7,38.4
CALVIN AUSTIN,PIT,249,373,328.9,26.9
DONOVAN PEOPLES-JONES,DET,281,383,332.4,33.0
HUNTER RENFROW,FA,271,379,326.4,34.1
TANNER HUDSON,CIN,266,394,334.7,35.2
ERICK ALL,CIN,258,354,325.1,28.2
CRAIG REYNOLDS,DET,303,385,332.9,24.4
KYLEN GRANSON,IND,297,374,336.9,19.4
BREVIN JORDAN,HOU,291,391,334.9,30.1
JUSTIN WATSON,KC,266,378,329.4,31.8
TAMPA BAY BUCCANEERS,TB,189,355,246.5,56.3
VAN JEFFERSON,PIT,268,383,335.1,33.5
LOS ANGELES RAMS,LAR,185,355,279.3,59.8
JEREMY RUCKERT,NYJ,290,360,342.4,20.8
ISAIAH DAVIS,NYJ,275,385,329.5,36.8
TY JOHNSON,BUF,264,364,327.1,27.8
