PPR_RK,PPR_TIERS,PLAYER NAME,TEAM,PPR_FAN PTS,PASS_YDS,PASS_TDS,REC,REC_YDS,REC_TDS,RUSH_ATT,RUSH_YDS,RUSH_TDS
100,8,COURTLAND SUTTON,DEN,190.2,0,0,59,772,10,0,0,0
101,8,JUSTIN HERBERT,LAC,241.2,3134,20,0,0,0,52,228,3
102,8,DEVIN SINGLETARY,NYG,167.3,0,0,30,193,0,216,898,4
103,8,CHRISTIAN WATSON,GB,101.3,0,0,28,422,5,4,11,0
104,8,DALLAS GOEDERT,PHI,136.3,0,0,59,592,3,1,1,0
105,8,ZACK MOSS,CIN,169.6,0,0,27,192,2,183,794,5
106,8,ROME ODUNZE,CHI,0,0,0,0,0,0,0,0,0
107,8,AUSTIN EKELER,WAS,185.4,0,0,51,436,1,179,628,5
108,8,BROCK BOWERS,LV,0,0,0,0,0,0,0,0,0
109,8,KIRK COUSINS,ATL,154.7,2331,18,0,0,0,14,25,0
110,8,TYLER LOCKETT,SEA,202.4,0,0,79,894,5,0,0,0
111,8,JONATHON BROOKS,CAR,0,0,0,0,0,0,0,0,0
112,8,MATTHEW STAFFORD,LAR,254.1,3965,24,0,0,0,21,65,0
113,8,PAT FREIERMUTH,PIT,76.8,0,0,32,308,2,0,0,0
114,8,CHASE BROWN,CIN,53.5,0,0,14,156,1,44,179,0
115,9,EZEKIEL ELLIOTT,DAL,174.5,0,0,51,313,2,184,642,3
116,9,JAKOBI MEYERS,LV,218.6,0,0,71,807,8,4,24,2
117,9,BRIAN THOMAS,JAC,0,0,0,0,0,0,0,0,0
118,9,AARON RODGERS,NYJ,0,0,0,0,0,0,0,0,0
119,9,DALTON SCHULTZ,HOU,150.5,0,0,59,635,5,0,0,0
120,9,JAMESON WILLIAMS,DET,80.3,0,0,24,354,2,3,29,1
121,9,CURTIS SAMUEL,BUF,157.2,0,0,62,613,4,7,39,1
122,9,TJ HOCKENSON,MIN,219,0,0,95,960,5,0,0,0
123,9,JEROME FORD,CLE,211.2,0,0,44,319,5,204,813,4
124,9,GUS EDWARDS,LAC,187,0,0,12,180,0,198,810,13
125,9,DESHAUN WATSON,CLE,90.8,1115,7,0,0,0,26,142,1
126,9,COLE KMET,CHI,181.1,0,0,73,719,6,3,2,0
127,9,NICK CHUBB,CLE,23.1,0,0,4,21,0,28,170,0
128,9,KEON COLEMAN,BUF,0,0,0,0,0,0,0,0,0
129,9,BAKER MAYFIELD,TB,284.1,4044,28,0,0,0,62,163,1
130,9,JOSH PALMER,LAC,106.7,0,0,38,581,2,1,6,0
131,9,ZACH CHARBONNET,SEA,106.1,0,0,33,209,0,108,462,1
132,9,GENO SMITH,SEA,236.3,3624,20,0,0,0,37,155,1
133,9,TREY BENSON,ARI,0,0,0,0,0,0,0,0,0
134,9,JOSH DOWNS,IND,157.1,0,0,68,771,2,0,0,0
135,9,RASHID SHAHEED,NO,155.6,0,0,46,719,5,7,37,0
136,9,BRANDIN COOKS,DAL,173.2,0,0,54,657,8,5,35,0
137,9,MIKE WILLIAMS,NYJ,50.2,0,0,19,249,1,1,3,0
138,9,ROMEO DOUBS,GB,174.4,0,0,59,674,8,0,0,0
139,9,WILL LEVIS,TEN,106,1808,8,0,0,0,25,57,1
140,9,LUKE MUSGRAVE,GB,75.2,0,0,34,352,1,0,0,0
141,9,CHUBA HUBBARD,CAR,182.5,0,0,39,233,0,238,902,5
142,9,ANTONIO GIBSON,NE,127.4,0,0,48,389,2,65,265,1
143,9,BLAKE CORUM,LAR,0,0,0,0,0,0,0,0,0
