RK,TIERS,PLAYER NAME,TEAM,FAN PTS
198,11,ELIJAH MOORE,CLE,73.1
199,11,JASON SANDERS,MIA,146
200,11,JERMAINE BURTON,CIN,0
201,11,KEATON MITCHELL,BAL,60.9
202,11,JALYNN POLK,NE,0
203,11,PHILADELPHIA EAGLES,PHI,101
204,11,ALEXANDER MATTISON,LV,103.2
205,11,AJ DILLON,GB,95.6
206,11,TYLER BASS,BUF,133
207,11,HOUSTON TEXANS,HOU,131
208,11,TYLER CONKLIN,NYJ,62.1
209,11,BEN SINNOTT,WAS,0
210,11,KAIMI FAIRBAIRN,HOU,114
211,11,JAKE ELLIOTT,PHI,156
212,11,DONTA FOREMAN,CLE,80.2
213,11,JAKE MOODY,SF,131
214,11,YOUNGHOE KOO,ATL,138
215,11,MILES SANDERS,CAR,60.6
216,11,ROMAN WILSON,PIT,0
217,11,TROY FRANKLIN,DEN,0
218,11,MARKEISE IRVING,TB,0
219,11,JALIN HYATT,NYG,37.3
220,11,KENNY GAINWELL,PHI,67.4
221,11,EVAN MCPHERSON,CIN,140
222,11,DARIUS SLAYTON,NYG,101
223,11,CHICAGO BEARS,CHI,120
224,11,BRAELON ALLEN,NYJ,0
225,11,MICHAEL MAYER,LV,44.4
226,11,DEMARCUS ROBINSON,LAR,61.4
227,11,DRAKE MAYE,NE,0
228,11,NOAH FANT,SEA,41.4
229,11,KIMANI VIDAL,LAC,0
230,11,JAVON BAKER,NE,0
231,11,CLYDE EDWARDS-HELAIRE,KC,53.1
232,11,CAMERON DICKER,LAC,151
233,11,MINNESOTA VIKINGS,MIN,124
234,11,AUDRIC ESTIME,DEN,0
235,11,CARTAVIOUS BIGSBY,JAC,21.8
236,11,MALACHI CORLEY,NYJ,0
237,12,MATT GAY,IND,157
238,12,TREYLON BURKS,TEN,23.9
239,12,KENDRICK BOURNE,NE,63
240,12,BO NIX,DEN,0
241,12,ODELL BECKHAM,MIA,72.5
242,12,TYLER BOYD,TEN,78.8
243,12,JAMAAL WILLIAMS,NO,42.8
244,12,MIKE GESICKI,CIN,36.4
245,12,ZAY JONES,ARI,44.1
246,12,DUSTIN HOPKINS,CLE,149
247,12,RONDALE MOORE,ATL,65
248,12,JUSTICE HILL,BAL,81.3
249,12,JUSTIN FIELDS,PIT,239.2
250,12,INDIANAPOLIS COLTS,IND,139
251,12,AT PERRY,NO,48.6
252,12,JELANI WOODS,IND,0
253,12,CAIRO SANTOS,CHI,158
254,12,DAWSON KNOX,BUF,32.6
255,12,TYRONE TRACY,NYG,0
256,12,JASON MYERS,SEA,158
257,12,JONATHAN MINGO,CAR,41.8
258,12,DJ CHARK,LAC,80.5
259,12,GARDNER MINSHEW,LV,205.2
260,12,JATAVION SANDERS,CAR,0
261,12,DENVER BRONCOS,DEN,118
262,12,WILL SHIPLEY,PHI,0
263,12,GERALD EVERETT,CHI,60.1
264,12,JOSH REYNOLDS,DEN,88.8
265,12,ALEC PIERCE,IND,63.4
266,12,SAMAJE PERINE,DEN,71.3
267,12,TYLER HIGBEE,LAR,61.5
268,12,DEVONTEZ WALKER,BAL,0
269,12,CINCINNATI BENGALS,CIN,118
270,12,TREY PALMER,TB,56.7
271,12,JACKSONVILLE JAGUARS,JAC,120
272,12,DANIEL CARLSON,LV,121
273,12,JALEN MCMILLAN,TB,0
274,12,KJ OSBORN,NE,72
275,12,DETROIT LIONS,DET,107
276,12,CEDRIC TILLMAN,CLE,23.2
277,12,JEFFERY WILSON,MIA,27.3
278,12,ANDREI IOSIVAS,CIN,35.6
279,12,DEUCE VAUGHN,DAL,8
280,12,BLAKE GRUPE,NO,150
281,12,JONNU SMITH,MIA,74.2
282,12,MICHAEL GALLUP,LV,53.8
