PPR_POS_RK,PPR_POS_TIERS,PLAYER NAME,TEAM,PPR_AVG_FAN PTS,AVG_TGT,AVG_REC,AVG_REC_YDS,AVG_REC_TDS,AVG_RUSH_ATT,AVG_RUSH_YDS,AVG_RUSH_TDS
108,9,ANDREW BECK,FA,2.6,0.9,0.7,3.7,0.1,0.3,0.2,0.1
109,9,JACK STOLL,FA,0.5,0.5,0.3,2.2,0.0,0.0,0.0,0.0
110,9,BEN SIMS,GB,0.8,0.4,0.3,1.3,0.1,0.0,0.0,0.0
111,9,MITCHELL WILCOX,FA,0.9,0.7,0.5,3.3,0.0,0.0,0.0,0.0
112,9,ERIC SAUBERT,SF,0.5,0.4,0.4,1.5,0.0,0.0,0.0,0.0
113,9,JOE FORTSON,FA,0,0,0,0,0,0,0,0
114,9,STEPHEN SULLIVAN,FA,2.2,2.2,1.1,11.4,0.0,0.0,0.0,0.0
115,9,TYLER MABRY,SEA,0,0,0,0,0,0,0,0
116,9,BRAYDEN WILLIS,SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,9,JOHN FITZPATRICK,ATL,0.3,0.1,0.1,1.7,0.0,0.0,0.0,0.0
118,9,JESPER HORSTED,FA,0.3,0.2,0.2,0.8,0.0,0.0,0.0,0.0
119,9,NATE ADKINS,DEN,0.6,0.5,0.4,2.2,0.0,0.0,0.0,0.0
120,10,TEAGAN QUITORIANO,FA,0.8,0.4,0.3,4.7,0.0,0.0,0.0,0.0
121,10,MARCEDES LEWIS,CHI,0.8,0.3,0.2,1.7,0.1,0.0,0.0,0.0
122,10,CJ UZOMAH,FA,1.7,1.0,0.7,4.8,0.1,0.0,0.0,0.0
123,10,TUCKER FISK,LAC,0.3,0.2,0.2,1.5,0.0,0.0,0.0,0.0
124,10,EJ JENKINS,PHI,0,0,0,0,0,0,0,0
125,10,JACK WESTOVER,SEA,0,0,0,0,0,0,0,0
126,10,GIOVANNI RICCI,FA,0.2,0.2,0.2,0.3,0.0,0.0,0.0,0.0
127,10,GEOFF SWAIM,FA,1.4,0.8,0.7,6.7,0.0,0.0,0.0,0.0
128,10,STEPHEN CARLSON,FA,0,0,0,0,0,0,0,0
129,10,TREVON WESCO,FA,0.2,0.2,0.1,1.4,0.0,0.0,0.0,0.0
130,10,SEAN MCKEON,DET,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
131,10,ZACH DAVIDSON,BUF,0,0,0,0,0,0,0,0
132,10,DYLAN PARHAM,FA,0,0,0,0,0,0,0,0
133,10,DANIEL MARX,FA,0,0,0,0,0,0,0,0
134,10,BREVYN SPANN-FORD,DAL,0,0,0,0,0,0,0,0
135,10,ZACH GENTRY,LV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,10,BLAKE BELL,FA,0.7,0.5,0.3,1.5,0.1,0.0,0.0,0.0
137,10,BRADY RUSSELL,SEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,10,ERIC TOMLINSON,IND,0,0,0,0,0,0,0,0
139,10,RODNEY WILLIAMS,PIT,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
