PPR_RK,PPR_POS_TIERS,PLAYER NAME,TEAM,PPR_AVG_FAN PTS,"AVG_TGT","AVG_REC","AVG_REC_YDS","AVG_REC_TDS","AVG_RUSH_ATT","AVG_RUSH_YDS","AVG_RUSH_TDS"
"220",13,"Brandon Johnson",DEN,"2.8","2.8","1.2","8.4","0.2","0.0","0.0","0.0"
"221",13,"Blake Proehl",MIN,"0","0","0","0","0","0","0","0"
"222",13,"Antoine Green",DET,"0","0","0","0","0","0","0","0"
"223",13,"Tyrie Cleveland",PHI,"1.0","1.4","0.4","5.6","0.0","0.0","0.0","0.0"
"224",13,"Tom Kennedy",FA,"3.2","2.1","1.1","20.1","0.0","0.0","0.0","0.0"
"225",13,"Trent Taylor",CIN,"0.7","0.6","0.4","3.9","0.0","0.3","0.9","0.0"
"226",13,"T.Y. Hilton",FA,"6.4","3.3","2.3","40.3","0.0","0.0","0.0","0.0"
"227",14,"Josh Ali",ATL,"0.0","1.0","0.0","0.0","0.0","0.0","0.0","0.0"
"228",14,"Marcus Johnson",FA,"2.4","2.8","1.1","12.4","0.0","0.0","0.0","0.0"
"229",14,"Dennis Houston",DAL,"1.8","3.0","1.0","8.0","0.0","0.0","0.0","0.0"
"230",14,"Steven Sims Jr.",HOU,"2.6","1.9","1.2","8.7","0.0","1.1","5.8","0.0"
"231",14,"Jeff Smith",FA,"3.1","1.6","1.1","19.1","0.0","0.0","0.0","0.0"
"232",14,"Andre Baccellia",ARI,"2.3","2.0","1.4","9.0","0.0","0.0","0.0","0.0"
"233",14,"Jason Moore Jr.",DET,"1.5","2.0","1.0","5.0","0.0","0.0","0.0","0.0"
"234",14,"Michael Woods II",CLE,"1.1","1.3","0.6","5.6","0.0","0.1","-0.6","0.0"
"235",14,"Ronnie Bell",SF,"0","0","0","0","0","0","0","0"
"236",14,"Cody Hollister",FA,"1.4","0.8","0.5","9.0","0.0","0.0","0.0","0.0"
"237",14,"Trinity Benson",DET,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"238",14,"Seth Williams",JAC,"0","0","0","0","0","0","0","0"
"239",14,"Greg Ward",PHI,"0","0","0","0","0","0","0","0"
"240",15,"Javon Wims",CAR,"0","0","0","0","0","0","0","0"
"241",15,"Malik Turner",FA,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"242",15,"Keelan Cole Sr.",LV,"2.5","1.8","0.8","11.8","0.1","0.0","0.0","0.0"
"243",15,"Penny Hart",ATL,"1.7","1.3","1.0","6.7","0.0","0.0","0.0","0.0"
"244",15,"Dez Fitzpatrick",PIT,"0","0","0","0","0","0","0","0"
"245",15,"Kyric McGowan",WAS,"0","0","0","0","0","0","0","0"
"246",15,"Britain Covey",PHI,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"247",15,"Cody Thompson",SEA,"0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
