PLAYER NAME,TEAM,POS_BEST,POS_WORST,POS_AVG.,POS_STD.DEV
"Durham Smythe",MIA,"33","62","48.2","8.5"
"C.J. Uzomah",NYJ,"35","71","51.6","6.9"
"Harrison Bryant",CLE,"42","74","53.9","6.4"
"Peyton Hendershot",DAL,"40","69","54.0","5.9"
"Kylen Granson",IND,"44","74","55.5","6.5"
"Jordan Akins",CLE,"38","67","55.3","7.0"
"Brock Wright",DET,"43","80","57.0","7.4"
"Colby Parkinson",SEA,"45","73","60.0","7.2"
"Jeremy Ruckert",NYJ,"43","107","62.7","16.4"
"Brenton Strange",JAC,"47","90","62.0","9.7"
"Tommy Tremble",CAR,"46","86","64.7","7.0"
"Josh Oliver",MIN,"42","78","60.5","8.3"
"Hunter Long",LAR,"56","142","70.0","18.1"
"James Mitchell",DET,"47","81","67.5","7.6"
"Elijah Higgins",MIA,"40","81","58.1","9.5"
"Josiah Deguara",GB,"50","87","69.7","10.1"
"Zack Kuntz",NYJ,"53","146","68.8","23.3"
"John Bates",WAS,"56","87","71.0","8.0"
"Ian Thomas",CAR,"58","86","71.8","8.4"
"Charlie Kolar",BAL,"54","108","77.6","11.7"
"Tre' McKitty",LAC,"69","91","73.9","5.2"
"Teagan Quitoriano",HOU,"54","93","72.7","12.1"
"Josh Whyle",TEN,"57","94","79.2","11.0"
"Brycen Hopkins",LAR,"57","85","74.8","7.9"
"Eric Saubert",MIA,"51","102","79.6","15.9"
"Grant Calcaterra",PHI,"66","103","74.5","10.2"
"Jack Stoll",PHI,"66","92","79.5","8.8"
"Cameron Latu",SF,"59","109","82.6","18.3"
"Dan Arnold",FA,"56","98","77.8","14.8"
"Jody Fortson",KC,"62","101","78.9","13.6"
"Quintin Morris",BUF,"65","114","81.1","15.7"
"Ko Kieft",TB,"62","117","81.6","19.9"
"Payne Durham",TB,"55","95","78.3","12.9"
"Ross Dwelley",SF,"66","101","78.3","11.6"
"Drew Sample",CIN,"64","92","83.6","9.8"
"Johnny Mundt",MIN,"77","93","83.8","5.5"
"Will Mallory",IND,"68","119","86.8","13.9"
"Zach Gentry",PIT,"70","100","87.8","9.3"
"Chris Manhertz",DEN,"79","116","88.8","10.2"
"Jimmy Graham",NO,"56","89","68.3","13.1"
"O.J. Howard",FA,"49","84","65.0","11.3"
"Devin Asiasi",CIN,"67","108","91.1","14.8"
"Tyler Kroft",MIA,"54","80","70.2","11.3"
"Connor Heyward",PIT,"69","117","91.9","12.9"
"Giovanni Ricci",CAR,"69","104","82.5","15.4"
"Shane Zylstra",DET,"80","103","85.7","8.2"
"Parker Hesse",ATL,"83","125","94.0","13.0"
"Jesper Horsted",LV,"77","124","91.5","18.2"
"Davis Allen",LAR,"81","122","101.7","14.0"
"Blake Bell",KC,"62","77","70.0","6.2"
"Trevon Wesco",TEN,"56","114","93.0","22.4"
"Mitchell Wilcox",CIN,"87","98","93.0","4.6"
"Geoff Swaim",ARI,"85","114","99.2","8.9"
"Pharaoh Brown",IND,"85","107","99.7","8.8"
"Tanner Hudson",CIN,"87","110","100.3","7.3"
"Cameron Brate",FA,"67","80","74.0","5.3"
"Luke Farrell",JAC,"79","115","104.7","11.6"
"Chris Myarick",NYG,"95","101","97.8","1.9"
"Marcedes Lewis",CHI,"82","113","99.4","10.3"
"MyCole Pruitt",ATL,"92","109","99.6","6.3"
"Tommy Sweeney",NYG,"97","118","104.7","7.1"
"Andrew Beck",HOU,"95","133","104.4","14.4"
"Armani Rogers",WAS,"96","111","105.0","5.4"
"Kevin Rader",TEN,"82","116","105.2","12.2"
"Charlie Woerner",SF,"71","123","109.0","17.5"
"Tyree Jackson",PHI,"69","85","77.0","8.0"
"Kendall Blanton",KC,"96","124","107.4","9.8"
"Kyle Rudolph",FA,"80","96","88.0","8.0"
"Stephen Sullivan",CAR,"105","118","112.6","4.3"
"Jacob Hollister",LV,"90","126","109.3","13.6"
"Tyler Davis",GB,"77","108","92.5","15.5"
"Nick Boyle",FA,"93","95","94.0","1.0"
"Sean McKeon",DAL,"106","123","114.8","7.2"
"Stone Smartt",LAC,"93","119","107.3","10.8"
"Zaire Mitchell-Paden",CLE,"99","99","99.0","0.0"
"Tyler Mabry",SEA,"104","116","108.3","5.4"
"Noah Togiai",ARI,"94","105","99.5","5.5"
"Matt Sokol",NE,"91","117","104.0","13.0"
"Mason Schreck",HOU,"112","125","116.5","5.0"
"J.P. Holtz",NO,"105","109","107.0","2.0"
"Kenny Yeboah",NYJ,"110","123","117.0","5.2"
"Jacob Harris",JAC,"111","124","115.3","6.1"
"Noah Gindorff",FA,"95","148","121.5","26.5"
"David Wells",TB,"111","128","117.0","7.8"
"Brayden Willis",SF,"103","121","112.0","9.0"
"Anthony Firkser",NE,"97","137","117.0","20.0"
"Matt Bushman",KC,"100","125","112.5","12.5"
"Eric Tomlinson",HOU,"113","119","116.0","3.0"
"Travis Vokolek",BAL,"106","145","125.5","19.5"
